cycle,component,filename,url,status
1999-2000,DEMO,DEMO,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.XPT,ok
1999-2000,BPX,BPX,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.XPT,ok
1999-2000,BPXO,(none),,missing
1999-2000,BMX,BMX,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.XPT,ok
1999-2000,TCHOL,LAB13,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.XPT,ok
1999-2000,HDL,LAB13,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.XPT,ok
1999-2000,GHB,LAB10,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10.XPT,ok
1999-2000,DIQ,DIQ,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DIQ.XPT,ok
1999-2000,SMQ,SMQ,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQ.XPT,ok
1999-2000,BIOPRO,LAB18,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.XPT,ok
1999-2000,ALB_CR,LAB16,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB16.XPT,ok
1999-2000,BPQ,BPQ,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPQ.XPT,ok
1999-2000,RXQ_RX,RXQ_RX,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RXQ_RX.XPT,ok
2001-2002,DEMO,DEMO_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.XPT,ok
2001-2002,BPX,BPX_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/BPX_B.XPT,ok
2001-2002,BPXO,(none),,missing
2001-2002,BMX,BMX_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/BMX_B.XPT,ok
2001-2002,TCHOL,L13_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L13_B.XPT,ok
2001-2002,HDL,L13_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L13_B.XPT,ok
2001-2002,GHB,L10_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L10_B.XPT,ok
2001-2002,DIQ,DIQ_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DIQ_B.XPT,ok
2001-2002,SMQ,SMQ_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SMQ_B.XPT,ok
2001-2002,BIOPRO,L40_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L40_B.XPT,ok
2001-2002,ALB_CR,L16_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L16_B.XPT,ok
