file,source_url,bytes_repo,bytes_fresh,sha256_repo,sha256_fresh,identical,http_status,retrieved_utc
DEMO_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.XPT,11500560,11500560,a17bd1ebfd6007b8dc93f16259cb090678eb6c467a39363b7e932bba15febf89,a17bd1ebfd6007b8dc93f16259cb090678eb6c467a39363b7e932bba15febf89,true,200,2026-09-04T06:32:37Z
BPX_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.XPT,2232640,2232640,ab99dc870f4d5fbec80642ad4b72bde73cb50d0ae630f01c9e74de5a309759f4,ab99dc870f4d5fbec80642ad4b72bde73cb50d0ae630f01c9e74de5a309759f4,true,200,2026-09-04T06:32:38Z
BMX_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.XPT,2827840,2827840,6b9bc4d998c0004fc42b213cc7f5bf347df937707f46d6d25fab926723a60500,6b9bc4d998c0004fc42b213cc7f5bf347df937707f46d6d25fab926723a60500,true,200,2026-09-04T06:32:39Z
TCHOL_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.XPT,335200,335200,45fb87d575f6a16d52dbfc59d70fe7ad95bded2e96262b4c768a7ccdf736b096,45fb87d575f6a16d52dbfc59d70fe7ad95bded2e96262b4c768a7ccdf736b096,true,200,2026-09-04T06:32:40Z
HDL_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB13.XPT,335200,335200,45fb87d575f6a16d52dbfc59d70fe7ad95bded2e96262b4c768a7ccdf736b096,45fb87d575f6a16d52dbfc59d70fe7ad95bded2e96262b4c768a7ccdf736b096,true,200,2026-09-04T06:32:40Z
GHB_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB10.XPT,109200,109200,af0f1ef9c342f085e9b699115f92745f70e9cee1a0142fbc968d806d7656a553,af0f1ef9c342f085e9b699115f92745f70e9cee1a0142fbc968d806d7656a553,true,200,2026-09-04T06:32:41Z
DIQ_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DIQ.XPT,1294240,1294240,85f1816a9d1809290012c2e58741f266ef811a63e51f75f7856538593c89cf7d,85f1816a9d1809290012c2e58741f266ef811a63e51f75f7856538593c89cf7d,true,200,2026-09-04T06:32:42Z
SMQ_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQ.XPT,1733760,1733760,fb1505ea08e310a5cb703ccae0e220aede3da812674e9e53f832fe76e31c2ce3,fb1505ea08e310a5cb703ccae0e220aede3da812674e9e53f832fe76e31c2ce3,true,200,2026-09-04T06:32:42Z
BIOPRO_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB18.XPT,2223120,2223120,36dc6f02045ceb61e146885bb04400fd580c9c35cc3bfc4269e314f0e06fe9c0,36dc6f02045ceb61e146885bb04400fd580c9c35cc3bfc4269e314f0e06fe9c0,true,200,2026-09-04T06:32:43Z
ALB_CR_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB16.XPT,314240,314240,93e47660c2c647d368549b1ff940eee4aa12015906395cfa432721fc4c00feea,93e47660c2c647d368549b1ff940eee4aa12015906395cfa432721fc4c00feea,true,200,2026-09-04T06:32:44Z
BPQ_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPQ.XPT,1746480,1746480,38d0e06bfbe8d01b2fe7af8d18622960fe7a21dd78312bbee7123df21af8c574,38d0e06bfbe8d01b2fe7af8d18622960fe7a21dd78312bbee7123df21af8c574,true,200,2026-09-04T06:32:45Z
RXQ_RX_1999-2000.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/RXQ_RX.XPT,3178480,3178480,fa4268e92c76d62f9b759db9c29a944336e29a90a9e99dfaeb8bf315e7446f1d,fa4268e92c76d62f9b759db9c29a944336e29a90a9e99dfaeb8bf315e7446f1d,true,200,2026-09-04T06:32:46Z
DEMO_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.XPT,3273520,3273520,6458dc2307cee244ab6ba26f70ec78c7b842ffc68e668bc43f0ab6b9737937d9,6458dc2307cee244ab6ba26f70ec78c7b842ffc68e668bc43f0ab6b9737937d9,true,200,2026-09-04T06:32:47Z
BPX_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/BPX_B.XPT,2519440,2519440,d4214e708ccd12816a00e681f310e1e0eca14ac933c3b1cab21b1e000b871ad8,d4214e708ccd12816a00e681f310e1e0eca14ac933c3b1cab21b1e000b871ad8,true,200,2026-09-04T06:32:48Z
BMX_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/BMX_B.XPT,2183680,2183680,55715d4387960f88e48a2adf44da0b270a83290b1edf7c8e4ecc0eb2c29c59cf,55715d4387960f88e48a2adf44da0b270a83290b1edf7c8e4ecc0eb2c29c59cf,true,200,2026-09-04T06:32:49Z
TCHOL_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L13_B.XPT,371920,371920,28b32f39fdfc2a2b6d48fbaf62415ff70ef55ee3c28ec930679b0040e2f6481b,28b32f39fdfc2a2b6d48fbaf62415ff70ef55ee3c28ec930679b0040e2f6481b,true,200,2026-09-04T06:32:50Z
HDL_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L13_B.XPT,371920,371920,28b32f39fdfc2a2b6d48fbaf62415ff70ef55ee3c28ec930679b0040e2f6481b,28b32f39fdfc2a2b6d48fbaf62415ff70ef55ee3c28ec930679b0040e2f6481b,true,200,2026-09-04T06:32:50Z
GHB_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L10_B.XPT,120160,120160,39ce5bbda8caed4246c89687b7e0f2853c8311274e301821593d631308108fd3,39ce5bbda8caed4246c89687b7e0f2853c8311274e301821593d631308108fd3,true,200,2026-09-04T06:32:50Z
DIQ_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DIQ_B.XPT,1427040,1427040,795aece6fa9a755744a4c1171cfce827fc3798ac4a4a04c894facac8176efb61,795aece6fa9a755744a4c1171cfce827fc3798ac4a4a04c894facac8176efb61,true,200,2026-09-04T06:32:51Z
SMQ_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SMQ_B.XPT,2073680,2073680,179d7ad46de9478824d475de0e6425f474b34dd4798066a552acd31b89f07fde,179d7ad46de9478824d475de0e6425f474b34dd4798066a552acd31b89f07fde,true,200,2026-09-04T06:32:52Z
BIOPRO_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L40_B.XPT,2448480,2448480,16f907f3a945cc24d053a9492a3f90edd3e0335f70ba047bbd9952ba6a00e182,16f907f3a945cc24d053a9492a3f90edd3e0335f70ba047bbd9952ba6a00e182,true,200,2026-09-04T06:32:53Z
ALB_CR_2001-2002.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L16_B.XPT,347360,347360,730e2cf809f940ef7240187006bc11542996692305ce1ae27cc6471f1369167e,730e2cf809f940ef7240187006bc11542996692305ce1ae27cc6471f1369167e,true,200,2026-09-04T06:32:53Z
