panel,quantity,horizon_y,est,lo,hi,units
A,sh_estimand,10.0,32.035022453561616,28.786153653392198,34.9921487678855,% of the observed difference in mean predicted risk
A,sh_estimand,5.0,34.48352360369475,,,% of the observed difference in mean predicted risk
A,sh_estimand,15.0,30.6950165789886,,,% of the observed difference in mean predicted risk
A,sh_heterogeneity,10.0,72.20087018970966,66.89062926706471,77.4587454088247,% of the observed difference in mean predicted risk
A,sh_heterogeneity,5.0,77.96023129577276,,,% of the observed difference in mean predicted risk
A,sh_heterogeneity,15.0,68.41280401117582,,,% of the observed difference in mean predicted risk
A,sh_timing,10.0,-3.72992115554601,-11.0840744123107,2.87080233758416,% of the observed difference in mean predicted risk
A,sh_timing,5.0,-11.29992314922359,,,% of the observed difference in mean predicted risk
A,sh_timing,15.0,1.25562627912157,,,% of the observed difference in mean predicted risk
A,sh_implementation,10.0,-0.50597148772527,,,% of the observed difference in mean predicted risk
A,sh_implementation,5.0,-1.1438317502439,,,% of the observed difference in mean predicted risk
A,sh_implementation,15.0,-0.36344686928599,,,% of the observed difference in mean predicted risk
A,total,10.0,100.0,,,% (definition)
B,overlay:nhanes_stratum:age 50-54,5.0,1.0094337865580711,0.69262548668545,1.8589427719896,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 55-59,5.0,1.018065562948512,1.15157015455546,3.51410818164673,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 60-64,5.0,1.0210135778296796,1.41757229749503,4.06808419380819,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 65-69,5.0,1.0251148787398638,2.31186965066213,4.82118722341174,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 70-74,5.0,1.0452932687961582,3.1992856829173704,8.44411250873851,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:age 75-79,5.0,1.0662153813664004,6.5682340313340095,11.87394843775596,est = pooled inflation; lo = F1 (%); hi = F2 (%)
