row,panel_metric,protocol,alpha,sigma,est,lo,hi,n_replicates,ci_excludes_zero,units,contrast,horizon_y
sweep,ici,inner_oof,0.0,0.1,0.1583041324704717,0.1471773101939306,0.1655631664097877,30.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.05,0.1,0.0437874234238196,0.04099412229069,0.0447056781236486,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.1,0.1,0.0308754155052328,0.0271458196212909,0.0325673944103914,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.2,0.1,0.019211226900858,0.0159982338274091,0.0221600621554842,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.3,0.1,0.0146984837702543,0.0118019313351535,0.0160550097753368,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.5,0.1,0.0094737843893177,0.0079807149153898,0.010398389914324,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.7,0.1,0.0068941869806972,0.0048528258024178,0.0085231122578584,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.85,0.1,0.0048178651915138,0.0031045026377149,0.00737948125601,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,0.95,0.1,0.0036037012223836,0.0019758190055248,0.0050817236212922,15.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,inner_oof,1.0,0.1,0.0036033088776863,0.0017733374824943,0.0050829288355498,30.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.0,0.1,0.1637074515264069,0.1582939466815354,0.1673846532533709,10.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.05,0.1,0.0451895284724319,0.0432792717143242,0.048053089604263,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.1,0.1,0.0364044745074632,0.0350979859904821,0.0388857610936111,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.2,0.1,0.0262422052691801,0.0236002086961895,0.0280108045059399,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.3,0.1,0.0211066155311836,0.0193162341561809,0.0219223080833885,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.5,0.1,0.0207651872950796,0.0188389434074329,0.0215182852414843,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.7,0.1,0.013802735274658,0.0120251809806806,0.0175475079659763,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.85,0.1,0.0145107295532076,0.0113865901581344,0.0156731823352839,5.0,,Integrated calibration index,deephit - nfg,10
sweep,ici,temporal_test,0.95,0.1,0.0132405951283708,0.0114323296981185,0.014316391821977,5.0,,Integrated calibration index,deephit - nfg,10
