panel,metric,split,model,family,est,lo,hi,learner_matched,horizon_y
IPCW time-dependent AUC at 10 y,auc,temporal,logistic,naive,0.8241850713888804,0.8023948043584823,0.843085864186287,,10
IPCW time-dependent AUC at 10 y,auc,temporal,cox_naive,naive,0.8242963492870331,0.8022697389125824,0.8431750565767289,,10
IPCW time-dependent AUC at 10 y,auc,temporal,rsf_naive,naive,0.8216980795065562,0.7984092369675636,0.8412722021341323,,10
IPCW time-dependent AUC at 10 y,auc,temporal,gbs_naive,naive,0.8248120248317719,0.8030846655368805,0.8430546343326568,,10
IPCW time-dependent AUC at 10 y,auc,temporal,logistic_cr,competing,0.8244477768739065,0.8028230935335159,0.8432837933301925,,10
IPCW time-dependent AUC at 10 y,auc,temporal,csc_cox,competing,0.8241459051767985,0.8021260485053062,0.8430431187152863,,10
IPCW time-dependent AUC at 10 y,auc,temporal,fine_gray,competing,0.8239932080109914,0.8021511942148208,0.8426960170269012,,10
IPCW time-dependent AUC at 10 y,auc,temporal,rsf_cr,competing,0.8200691481431325,0.7970689609646797,0.8393569916486741,,10
IPCW time-dependent AUC at 10 y,auc,temporal,deephit,competing,0.8297694067160288,0.8081835433840752,0.8477678626775742,,10
IPCW time-dependent AUC at 10 y,auc,temporal,nfg,competing,0.8289760470390319,0.8068426012992859,0.8472507074475288,,10
IPCW time-dependent AUC at 10 y,auc,cv,logistic,naive,0.822193052371343,0.8113271936774253,0.8334435299038887,,10
IPCW time-dependent AUC at 10 y,auc,cv,cox_naive,naive,0.8210973938306173,0.8100948244333267,0.8327292501926422,,10
IPCW time-dependent AUC at 10 y,auc,cv,rsf_naive,naive,0.8234327097733816,0.8124620705842972,0.8352322071790695,,10
IPCW time-dependent AUC at 10 y,auc,cv,gbs_naive,naive,0.8253525555133819,0.8149840757250786,0.8364092856645584,,10
IPCW time-dependent AUC at 10 y,auc,cv,logistic_cr,competing,0.8223117828369141,0.8114475771784783,0.8336117282509804,,10
IPCW time-dependent AUC at 10 y,auc,cv,csc_cox,competing,0.8210000991821289,0.8100449845194817,0.8326510921120643,,10
IPCW time-dependent AUC at 10 y,auc,cv,fine_gray,competing,0.820265903075536,0.8091946735978126,0.8319312259554863,,10
IPCW time-dependent AUC at 10 y,auc,cv,rsf_cr,competing,0.8217093527317048,0.8106545373797417,0.8335017368197442,,10
IPCW time-dependent AUC at 10 y,auc,cv,deephit,competing,0.8299038648605347,0.8195864439010621,0.8409121230244636,,10
IPCW time-dependent AUC at 10 y,auc,cv,nfg,competing,0.8286678850650787,0.8180937215685844,0.8396534010767936,,10
Truncated IPCW concordance,cindex,temporal,logistic,naive,0.8236413717269897,0.8025069668889045,0.8418520092964172,,10
Truncated IPCW concordance,cindex,temporal,cox_naive,naive,0.8236619353294372,0.8023474350571632,0.8417991176247597,,10
Truncated IPCW concordance,cindex,temporal,rsf_naive,naive,0.8217720866203309,0.799365584552288,0.8406549170613289,,10
Truncated IPCW concordance,cindex,temporal,gbs_naive,naive,0.82465527455012,0.8037721633911132,0.8423905059695244,,10
Truncated IPCW concordance,cindex,temporal,logistic_cr,competing,0.8238886813322703,0.8030233949422836,0.841943271458149,,10
Truncated IPCW concordance,cindex,temporal,csc_cox,competing,0.823489781220754,0.8022235736250878,0.8416085317730904,,10
Truncated IPCW concordance,cindex,temporal,fine_gray,competing,0.8232069472471873,0.802087913453579,0.8411962687969208,,10
Truncated IPCW concordance,cindex,temporal,rsf_cr,competing,0.8202179292837779,0.7980329796671868,0.8388756737112999,,10
Truncated IPCW concordance,cindex,temporal,deephit,competing,0.8292651315530141,0.808622220158577,0.84660854190588,,10
Truncated IPCW concordance,cindex,temporal,nfg,competing,0.8287020206451416,0.8075745925307274,0.8463937535881996,,10
Truncated IPCW concordance,cindex,cv,logistic,naive,0.8306650618712107,0.8183008879423141,0.8434909120202064,,10
