panel,model,design,horizon_y,quantity,est,lo,hi,n,n_events,at_risk_fraction,estimable
A,cox_naive,cv_oof_1999_2018,5,EO,1.0629057111264886,0.9677572230342052,1.1815478649618931,35309.0,415.0,0.7492140813956781,True
A,cox_naive,cv_oof_1999_2018,10,EO,1.1545689075411174,1.0870119621682075,1.2321462252901636,35309.0,868.0,0.4529723300008496,True
A,cox_naive,cv_oof_1999_2018,15,EO,1.297940259354255,1.2278661435496752,1.3821035890513709,35309.0,1219.0,0.2026395536548755,True
A,csc_cox,cv_oof_1999_2018,5,EO,1.0071338754438743,0.918613708200218,1.1128416219385568,35309.0,415.0,0.7492140813956781,True
A,csc_cox,cv_oof_1999_2018,10,EO,1.0061815325875745,0.9446825997734444,1.078158061143062,35309.0,868.0,0.4529723300008496,True
A,csc_cox,cv_oof_1999_2018,15,EO,1.0167577561163663,0.9586862435944512,1.0779285953409916,35309.0,1219.0,0.2026395536548755,True
A,cox_naive,temporal_2007_2010,5,EO,1.4698947730064065,1.2212100307190032,1.8160521711834876,8096.0,95.0,0.9571393280632412,True
A,cox_naive,temporal_2007_2010,10,EO,1.3981346281383569,1.2532753247360182,1.609066559409798,8096.0,242.0,0.6476037549407114,True
A,cox_naive,temporal_2007_2010,15,EO,1.894491285667613,1.5889229343759823,2.210116368124715,8096.0,277.0,0.0,False
A,csc_cox,temporal_2007_2010,5,EO,1.3978522722380209,1.164347027106253,1.7497758517195086,8096.0,95.0,0.9571393280632412,True
A,csc_cox,temporal_2007_2010,10,EO,1.222980483143958,1.0963833564803238,1.385774259791439,8096.0,242.0,0.6476037549407114,True
A,csc_cox,temporal_2007_2010,15,EO,1.490841601775223,1.286969168898975,1.736083545477453,8096.0,277.0,0.0,False
B,cox_naive / csc_cox,cv_oof_1999_2018,5,EO_ratio,1.055376784598804,,,35309.0,415.0,0.7492140813956781,True
B,cox_naive / csc_cox,cv_oof_1999_2018,10,EO_ratio,1.1474757488064191,,,35309.0,868.0,0.4529723300008496,True
B,cox_naive / csc_cox,cv_oof_1999_2018,15,EO_ratio,1.2765481763442854,,,35309.0,1219.0,0.2026395536548755,True
B,cox_naive / csc_cox,temporal_2007_2010,5,EO_ratio,1.0515379931049813,,,8096.0,95.0,0.9571393280632412,True
B,cox_naive / csc_cox,temporal_2007_2010,10,EO_ratio,1.1432190843668446,,,8096.0,242.0,0.6476037549407114,True
B,cox_naive / csc_cox,temporal_2007_2010,15,EO_ratio,1.2707528978341784,,,8096.0,277.0,0.0,False
B,"closed form, per subject",reference,10,EO_ratio,1.1492856910253,,,,,,True
