panel,stratifier,stratum,model,quantity,value,n,n_cvd_by_horizon,at_risk_fraction,flag_sparse,flag_low_at_risk,interpretable,split,horizon_y
top,age_group,30-44,cox_naive,eo,1.0922879369026648,3073.0,13.0,0.7455255450699639,True,False,False,temporal,10
top,age_group,45-54,cox_naive,eo,1.0771788287066637,2072.0,32.0,0.7678571428571428,False,False,True,temporal,10
top,age_group,55-64,cox_naive,eo,1.5842094840006693,1974.0,58.0,0.7811550151975685,False,False,True,temporal,10
top,age_group,65-74,cox_naive,eo,1.6681044151665383,1602.0,109.0,0.8146067415730337,False,False,True,temporal,10
top,age_group,75-79,cox_naive,eo,1.390964301450505,608.0,91.0,0.8914473684210524,False,False,True,temporal,10
top,age_group,30-44,csc_cox,eo,1.079004440550568,3073.0,13.0,0.7455255450699639,True,False,False,temporal,10
top,age_group,45-54,csc_cox,eo,1.0405142850218176,2072.0,32.0,0.7678571428571428,False,False,True,temporal,10
top,age_group,55-64,csc_cox,eo,1.4666271910775124,1974.0,58.0,0.7811550151975685,False,False,True,temporal,10
top,age_group,65-74,csc_cox,eo,1.4322718313336238,1602.0,109.0,0.8146067415730337,False,False,True,temporal,10
top,age_group,75-79,csc_cox,eo,1.091709499761219,608.0,91.0,0.8914473684210524,False,False,True,temporal,10
bottom,age_group,30-44,,n_cvd_by_horizon,13.0,3073.0,13.0,0.7455255450699639,True,False,False,temporal,10
bottom,age_group,45-54,,n_cvd_by_horizon,32.0,2072.0,32.0,0.7678571428571428,False,False,True,temporal,10
bottom,age_group,55-64,,n_cvd_by_horizon,58.0,1974.0,58.0,0.7811550151975685,False,False,True,temporal,10
bottom,age_group,65-74,,n_cvd_by_horizon,109.0,1602.0,109.0,0.8146067415730337,False,False,True,temporal,10
bottom,age_group,75-79,,n_cvd_by_horizon,91.0,608.0,91.0,0.8914473684210524,False,False,True,temporal,10
top,sex_label,female,cox_naive,eo,1.5686494708516558,4753.0,116.0,0.7675152535240897,False,False,True,temporal,10
top,sex_label,male,cox_naive,eo,1.4276024583777027,4576.0,187.0,0.7917395104895104,False,False,True,temporal,10
top,sex_label,female,csc_cox,eo,1.386143106903788,4753.0,116.0,0.7675152535240897,False,False,True,temporal,10
top,sex_label,male,csc_cox,eo,1.2140675282977658,4576.0,187.0,0.7917395104895104,False,False,True,temporal,10
bottom,sex_label,female,,n_cvd_by_horizon,116.0,4753.0,116.0,0.7675152535240897,False,False,True,temporal,10
bottom,sex_label,male,,n_cvd_by_horizon,187.0,4576.0,187.0,0.7917395104895104,False,False,True,temporal,10
top,cycle,2007-2008,cox_naive,eo,1.401471770787362,4591.0,165.0,1.0,False,False,True,temporal,10
top,cycle,2009-2010,cox_naive,eo,1.5845507833428436,4738.0,138.0,0.5656395103419166,False,False,True,temporal,10
top,cycle,2007-2008,csc_cox,eo,1.2096536732315208,4591.0,165.0,1.0,False,False,True,temporal,10
top,cycle,2009-2010,csc_cox,eo,1.3701644152294996,4738.0,138.0,0.5656395103419166,False,False,True,temporal,10
bottom,cycle,2007-2008,,n_cvd_by_horizon,165.0,4591.0,165.0,1.0,False,False,True,temporal,10
bottom,cycle,2009-2010,,n_cvd_by_horizon,138.0,4738.0,138.0,0.5656395103419166,False,False,True,temporal,10
