panel,model,split,statistic,quantity,value,sd_seed,sd_imputation,sd_single_seed_run,n_seed,n_imp
A,deephit,temporal,mean_risk10,seed_share_pct,102.42249134456591,0.0028225103569782,0.0,0.0027889316858315,10.0,30.0
A,deephit,temporal,frac_above_0.01,seed_share_pct,95.01420427976439,0.037809138256652,0.0087944026679459,0.0387884576701558,10.0,30.0
A,deephit,temporal,frac_above_0.02,seed_share_pct,95.94516166235796,0.0267085446847249,0.005575220549181,0.0272670833078769,10.0,30.0
A,deephit,temporal,frac_above_0.03,seed_share_pct,96.18633015410619,0.0210348171247736,0.0042529492927915,0.0214477660147156,10.0,30.0
A,deephit,temporal,frac_above_0.05,seed_share_pct,98.0694350048171,0.0156288577905786,0.002226584655131,0.0157819405417012,10.0,30.0
A,deephit,temporal,frac_above_0.075,seed_share_pct,100.15550477493731,0.0146865200651363,0.0,0.0146751142458723,10.0,30.0
A,deephit,temporal,frac_above_0.2,seed_share_pct,100.87973888912029,0.0124240767207665,0.0,0.0123697849613268,10.0,30.0
A,nfg,temporal,mean_risk10,seed_share_pct,96.9281781657476,0.0035329993786087,0.0006386356274583,0.0035885461524154,10.0,30.0
A,nfg,temporal,frac_above_0.01,seed_share_pct,99.12442055275817,0.0395430796580147,0.0037736753358879,0.0397173403790996,10.0,30.0
A,nfg,temporal,frac_above_0.02,seed_share_pct,97.08971407887634,0.0250827270682408,0.0044095326823439,0.0254558815483057,10.0,30.0
A,nfg,temporal,frac_above_0.03,seed_share_pct,96.01172234586448,0.0221369819581392,0.0045812666319568,0.0225920833087539,10.0,30.0
A,nfg,temporal,frac_above_0.05,seed_share_pct,93.11544195443142,0.0193089935282295,0.0053311807927863,0.0200100780459458,10.0,30.0
A,nfg,temporal,frac_above_0.075,seed_share_pct,93.73826570431144,0.0181890263497716,0.0047734778078786,0.018786721400865,10.0,30.0
A,nfg,temporal,frac_above_0.2,seed_share_pct,100.1037062832813,0.0134185939508906,0.0,0.0134116413955735,10.0,30.0
B,deephit,cv,mean_pred@5y,fmi,0.5681194768728827,0.957247256288309,,,96.0,191.0
B,deephit,cv,obs_cif@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,eo@5y,fmi,0.045743757213876,0.2803284381575555,,,3.0,32.0
B,deephit,cv,calib_intercept@5y,fmi,0.0416380006045012,0.2830913340177148,,,2.0,33.0
B,deephit,cv,calib_slope@5y,fmi,0.0369138462958873,0.247934539753515,,,2.0,26.0
B,deephit,cv,ici@5y,fmi,0.0484167123702627,0.2671426544345229,,,3.0,30.0
B,deephit,cv,e50@5y,fmi,0.045206593282304,0.1508794811340297,,,3.0,12.0
B,deephit,cv,e90@5y,fmi,0.0487785126348039,0.3011505381555978,,,3.0,36.0
B,deephit,cv,obs_concordant@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,eo_concordant@5y,fmi,0.045743757213876,0.2803284381575555,,,3.0,32.0
B,deephit,cv,calib_intercept_concordant@5y,fmi,0.0416380006045012,0.2830913340177148,,,2.0,33.0
B,deephit,cv,calib_slope_concordant@5y,fmi,0.0369138462958873,0.247934539753515,,,2.0,26.0
