"term","beta_cause1","beta_cause2"
"age",1.19678810508348,1.13472105749313
"sex",0.511404155857313,0.340484130386711
"sbp",0.183838402870556,0.0464707567741228
"antihtn",0.506457756892771,0.0811819861814921
"totchol",0.00862136588572902,-0.0210382375502926
"hdl",0.0164877803366613,0.0301112710751685
"statin",0.0665142894605921,-0.117651405253175
"diabetes",0.491587861781782,0.444419204337417
"smoke_current",0.831333489475768,0.848453312478719
"bmi",0.0454079314277079,-0.00109851488942223
"egfr",-0.222320991799729,-0.157968638538333
