"quantity","value","lo","hi","n_ok"
"D_model_h5",0.000855029872499406,0.000691674494094622,0.00102365542463616,300
"T_het_h5",0.000950554944887327,0.000790381143580741,0.00112180808540013,300
"T_pool_h5",0.000291510043469619,0.000244446493694133,0.000339706302170683,300
"sh_estimand_h5",0.340935507454824,0.295904895933876,0.395137526881867,300
"sh_heterogeneity_h5",0.770785820021939,0.700092464774128,0.885866148076676,300
"sh_timing_h5",-0.111721327476763,-0.275063312692899,-0.00638306741827806,300
"D_model_h10",0.00535482552424761,0.00458139612453041,0.0061105424934058,300
"T_het_h10",0.00555355080107943,0.00492243513713735,0.00625008576336317,300
"T_pool_h10",0.00170678372006112,0.00152906501060875,0.00189796069580144,300
"sh_estimand_h10",0.318737503646476,0.287861536533922,0.349921487678855,300
"sh_heterogeneity_h10",0.718373934612707,0.668906292670647,0.774587454088247,300
"sh_timing_h10",-0.0371114382591839,-0.110840744123107,0.0287080233758416,300
"D_model_h15",0.0178208126063653,0.0158115413809586,0.0195783593152889,300
"T_het_h15",0.0175978601139804,0.0158543650682359,0.0191504115037706,300
"T_pool_h15",0.00545029246669719,0.00492383090118426,0.00586820236839083,300
"sh_estimand_h15",0.305838604955109,0.281408448499472,0.329095481729056,300
"sh_heterogeneity_h15",0.681650602338092,0.643234283737766,0.726080327841318,300
"sh_timing_h15",0.0125107927067992,-0.0461850718609227,0.0595444541877591,300
