model,design,horizon,n,n_ev1,at_risk_frac,mean_pred,aj_obs,EO,EO_lo,EO_hi
csc_cox,cv_oof_1999_2018,5,35309,415,0.7492140813956781,0.013156365411246042,0.013063174352513597,1.0071338754438743,0.9186137082002179,1.1128416219385568
csc_cox,cv_oof_1999_2018,10,35309,868,0.45297233000084963,0.033173601676344394,0.03296979779685739,1.0061815325875743,0.9446825997734444,1.078158061143062
csc_cox,cv_oof_1999_2018,15,35309,1219,0.20263955365487551,0.060853697113502865,0.059850733124418125,1.0167577561163665,0.9586862435944511,1.0779285953409916
csc_cox,temporal_2007_2010,5,8096,95,0.9571393280632411,0.016402663767615115,0.01173418972332016,1.3978522722380207,1.164347027106253,1.7497758517195086
csc_cox,temporal_2007_2010,10,8096,242,0.6476037549407114,0.03720082455952349,0.03041816698815181,1.222980483143958,1.0963833564803238,1.3857742597914393
csc_cox,temporal_2007_2010,15,8096,277,0.0,0.06558111884311753,0.043989327078763206,1.490841601775223,1.286969168898975,1.736083545477453
cox_naive,cv_oof_1999_2018,5,35309,415,0.7492140813956781,0.013884922624727772,0.013063174352513597,1.0629057111264886,0.9677572230342052,1.1815478649618931
cox_naive,cv_oof_1999_2018,10,35309,868,0.45297233000084963,0.03806590342416918,0.03296979779685739,1.1545689075411174,1.0870119621682075,1.2321462252901636
cox_naive,cv_oof_1999_2018,15,35309,1219,0.20263955365487551,0.07768267607404956,0.059850733124418125,1.297940259354255,1.2278661435496752,1.3821035890513707
cox_naive,temporal_2007_2010,5,8096,95,0.9571393280632411,0.01724802413977379,0.01173418972332016,1.4698947730064063,1.2212100307190032,1.8160521711834874
cox_naive,temporal_2007_2010,10,8096,242,0.6476037549407114,0.04252869259063007,0.03041816698815181,1.3981346281383569,1.2532753247360182,1.6090665594097981
cox_naive,temporal_2007_2010,15,8096,277,0.0,0.08333739681309925,0.043989327078763206,1.894491285667613,1.5889229343759825,2.210116368124715
