model,protocol,alpha_s,sigma_s,seed,imp,seed_used,horizon,n_eval,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,inner_oof,0,0.1,2,1,21040084,10.0,14551,0.20043271713855984,0.041509174627173406,4.828636534905932,-1.4585027729074915,3.947312577419375,0.15830413247047176,0.17708154385713387,0.21813696020696127,0.8394343035626357,0.8327582554092093,1.0,0.06532285276232938
deephit,inner_oof,0,0.1,3,3,21056053,10.0,14551,0.18659367474009494,0.041509174627173406,4.495239339640928,-1.37653014410271,4.100877530110216,0.1444913729769275,0.16016628581093117,0.19962731468577521,0.8373260978054574,0.8309817120571469,1.0,0.06047814964417437
deephit,inner_oof,0.5,0.1,2,3,21055922,10.0,14551,0.048523856307775025,0.041509174627173406,1.1689911144609837,-0.07405803801308239,1.281524439571191,0.007934083494717857,0.006197549971787564,0.017879982518341858,0.8403050906530256,0.8339813758428456,1.0,0.036474615414028494
deephit,inner_oof,0.3,0.1,4,1,21040346,10.0,14551,0.05561715892556665,0.041509174627173406,1.339876290605828,-0.23043244950779987,1.3300428863871274,0.014154371306502676,0.010717017232935722,0.03247240178312083,0.8381212081498691,0.8317901720596734,1.0,0.036934451706835555
deephit,inner_oof,0.5,0.1,0,1,21039822,10.0,14551,0.054621438342042854,0.041509174627173406,1.3158883266805717,-0.22844047574410276,1.2859134221627684,0.013919214865785323,0.009239966905711102,0.03411307996730839,0.8422170117051448,0.835709050161477,1.0,0.03666047989412758
deephit,inner_oof,0.7,0.1,0,3,21055660,10.0,14551,0.04658623933372588,0.041509174627173406,1.1223118684520614,-0.0950178469724182,1.0794412402463258,0.005089611637777858,0.002866824566412629,0.013512255255865968,0.8369089557107631,0.8305230055768806,1.0,0.036401148640080094
deephit,inner_oof,0.05,0.1,4,3,21056184,10.0,14551,0.08569801687311225,0.041509174627173406,2.0645560323189667,-0.5952955678010198,2.1745229054666995,0.04443066077784009,0.05028500926389312,0.08286587204779752,0.8386143237620947,0.8323613179926019,1.0,0.03947996866460538
deephit,inner_oof,0.85,0.1,1,2,21047872,10.0,14551,0.04832981608199696,0.041509174627173406,1.164316479816453,-0.1375334870041702,1.0697192438438976,0.00670825613158336,0.003149281182401653,0.019324501178283215,0.8380192374443078,0.8315655836955704,1.0,0.03648169057145905
deephit,inner_oof,0,0.1,4,3,21056184,10.0,14551,0.18876918242230295,0.041509174627173406,4.547649624879022,-1.394375672502907,3.7026061064656464,0.14717731019393068,0.16318073791655208,0.2106113332414531,0.8314741189090012,0.825155605161918,1.0,0.06176757386168089
deephit,inner_oof,0.3,0.1,0,3,21055660,10.0,14551,0.0573588179501615,0.041509174627173406,1.3818347019748338,-0.25682792770892715,1.5247298807192742,0.017379183013742586,0.012095795948791954,0.04130887260649507,0.8385133027255025,0.8321610769828479,1.0,0.03688811215341875
deephit,inner_oof,0.7,0.1,4,1,21040346,10.0,14551,0.04936907478057865,0.041509174627173406,1.1893533230665556,-0.15261050133980517,1.0526707894582743,0.007569309007369104,0.003922633730453873,0.020537969397514177,0.8393198090975438,0.8330461817595665,1.0,0.036518073732601866
deephit,inner_oof,0.1,0.1,2,1,21040084,10.0,14551,0.07310941697981348,0.041509174627173406,1.7612833219756052,-0.4543046002888686,1.9997426372333866,0.03234834516598787,0.030917140106161978,0.0665405370747244,0.8441893554454256,0.8373366039752315,1.0,0.03812982553236042
deephit,inner_oof,0.3,0.1,0,1,21039822,10.0,14551,0.054405397351873004,0.041509174627173406,1.3106836703097744,-0.19705879405005836,1.5164660206452205,0.014827663670801166,0.010666791612801152,0.03543789068631187,0.8407551150357764,0.8342317642674044,1.0,0.03669693462525893
deephit,inner_oof,0.85,0.1,0,2,21047741,10.0,14551,0.04721802808594935,0.041509174627173406,1.13753232893816,-0.07861032838960424,1.082865133938903,0.0052777240108075035,0.004440164620530873,0.010095660577943533,0.837700029962056,0.8313676089073431,1.0,0.03653844889918942
deephit,inner_oof,0.7,0.1,3,3,21056053,10.0,14551,0.04914313463868946,0.041509174627173406,1.1839101856416723,-0.16776520091597036,1.0272637785397984,0.007333919067064515,0.002645416979075721,0.022635992963122575,0.8394791160671169,0.8330805818401742,1.0,0.036561868978631874
deephit,inner_oof,0.85,0.1,4,1,21040346,10.0,14551,0.04482130210652495,0.041509174627173406,1.0797926605166297,-0.07927643508150882,0.9662613513329485,0.002999890745897466,0.0011183829642288368,0.008803566363759896,0.8407553524530187,0.8341102599286361,1.0,0.036509055941493784
deephit,inner_oof,0,0.1,4,2,21048265,10.0,14551,0.20312673531120626,0.041509174627173406,4.893538287273777,-1.4734196488851015,3.629040219470055,0.16210671028322474,0.18145161388664735,0.21784968856653686,0.8324901459973589,0.8261448399123681,1.0,0.06610955708701653
deephit,inner_oof,0.5,0.1,1,3,21055791,10.0,14551,0.05100162327004348,0.041509174627173406,1.2286831460304675,-0.13759117805591378,1.2465458882665366,0.009474606012523156,0.006862462484307441,0.022217237069457663,0.8409184580984683,0.8344818621507418,1.0,0.036476768156961784
deephit,inner_oof,0.85,0.1,2,3,21055922,10.0,14551,0.04500708820799376,0.041509174627173406,1.0842684445604585,-0.07939181835394409,0.9853781372659391,0.0032614204754413223,0.0013611191437304937,0.009078804769992344,0.8404286663276348,0.8340334989379556,1.0,0.03637580240394163
deephit,inner_oof,0.7,0.1,0,2,21047741,10.0,14551,0.04650540600919223,0.041509174627173406,1.1203645080128408,-0.12499124080872842,0.9803914951500652,0.0046949685788445225,0.0010735814601365821,0.015703887818934392,0.836836306034624,0.8304385161897122,1.0,0.03666693732212741
deephit,inner_oof,0.7,0.1,4,3,21056184,10.0,14551,0.047600947557451916,0.041509174627173406,1.1467572647491433,-0.09045742181421526,1.1695790892605864,0.006453749522361716,0.0044112798704175615,0.015869881782279327,0.8400825119883837,0.83376614290607,1.0,0.03634126233057251
deephit,inner_oof,0,0.1,0,1,21039822,10.0,14551,0.20128762669567735,0.041509174627173406,4.849232212001325,-1.461887664283235,3.513207830546388,0.16273019543786024,0.1868080395166819,0.21449793172605147,0.8341745026227483,0.8278095830024553,1.0,0.0653308480178877
deephit,inner_oof,0.2,0.1,0,2,21047741,10.0,14551,0.06111053816801269,0.041509174627173406,1.4722176173555503,-0.3109957512934179,1.86079549427079,0.02254725885589343,0.017351464187672194,0.05145209912875881,0.8387494141729547,0.8322748529251284,1.0,0.037290261529278314
deephit,inner_oof,0.5,0.1,4,1,21040346,10.0,14551,0.05117846671911125,0.041509174627173406,1.2329434921022973,-0.1670353199422641,1.1454266257106975,0.009306426872089905,0.006122209231632758,0.022506205983889638,0.8383962560250561,0.8319491562159957,1.0,0.03665691186262939
deephit,inner_oof,0.5,0.1,0,2,21047741,10.0,14551,0.048927939104883196,0.041509174627173406,1.1787258972105217,-0.12644766281748104,1.2110713675557339,0.008050662046398099,0.004862544180050055,0.01970203501824888,0.8364521649366072,0.8301394330564553,1.0,0.03666369168059622
deephit,inner_oof,0.5,0.1,2,1,21040084,10.0,14551,0.05165468963820286,0.041509174627173406,1.2444162068302806,-0.16440314040178491,1.235221170670277,0.010084440562518115,0.0067173731697036665,0.024388913181347394,0.8406285716456386,0.8341019504497055,1.0,0.036593055431232556
deephit,inner_oof,0.85,0.1,0,3,21055660,10.0,14551,0.04444998999838048,0.041509174627173406,1.070847358388136,-0.04658361065806811,1.0179522634220672,0.002707682852145291,0.002102357928484809,0.00544673629248138,0.8360500988367979,0.8297167536876363,1.0,0.036481225417537795
deephit,inner_oof,0.95,0.1,0,1,21039822,10.0,14551,0.047588643326153396,0.041509174627173406,1.146460842779566,-0.11959195475737518,0.9735557924654605,0.006431290879917229,0.005172996342361014,0.010713963346932087,0.8378241991797709,0.83134238992933,1.0,0.03649662055320766
deephit,inner_oof,0.3,0.1,2,2,21048003,10.0,14551,0.05514116484239107,0.041509174627173406,1.3284090887775368,-0.19778138551309205,1.490078367339642,0.014965620655098202,0.011603685555378274,0.034091357236991526,0.8415772909458086,0.8350638162171045,1.0,0.036700095331499365
deephit,inner_oof,0.5,0.1,1,2,21047872,10.0,14551,0.04912913738018207,0.041509174627173406,1.183572976852697,-0.11644171099676918,1.3019097584181047,0.009289055102755697,0.005744502489542946,0.022766051141435262,0.8384374479165925,0.8319839049460691,1.0,0.0364720081295172
deephit,inner_oof,0.7,0.1,2,2,21048003,10.0,14551,0.048094619066676815,0.041509174627173406,1.15865033450201,-0.1292006563105472,1.0244338177606445,0.006326133363843765,0.0034698364455429953,0.016412769439382857,0.8378446170626074,0.8315037565236673,1.0,0.036587155330910705
deephit,inner_oof,0.05,0.1,4,1,21040346,10.0,14551,0.0834178817849653,0.041509174627173406,2.009625162008327,-0.591362273597151,2.5310223707474506,0.0442424223738865,0.04371212854019191,0.08875138171190633,0.8389101456459814,0.8323555652764192,1.0,0.03944391749296196
deephit,inner_oof,0.7,0.1,0,1,21039822,10.0,14551,0.05138671987114498,0.041509174627173406,1.2379605312003814,-0.163506812554171,1.1366573243576268,0.009600268737086384,0.0065937568081898545,0.022539192591574664,0.8405233958073065,0.834185800646187,1.0,0.03648844792018801
deephit,inner_oof,0.3,0.1,2,3,21055922,10.0,14551,0.055085117581252424,0.041509174627173406,1.3270588508688803,-0.20882691595461758,1.487255236756661,0.015050970193553089,0.011120380060871682,0.03516109988693389,0.839831799380531,0.833334631084122,1.0,0.03677275189138565
deephit,inner_oof,0.5,0.1,4,3,21056184,10.0,14551,0.05134867292791868,0.041509174627173406,1.2370439400234179,-0.16978562714250844,1.229238931010519,0.010370081213734008,0.006795322331997644,0.025569885341267473,0.8400433381434067,0.8335937357453214,1.0,0.036565769997607835
deephit,inner_oof,0.85,0.1,3,3,21056053,10.0,14551,0.04660585401591261,0.041509174627173406,1.1227844069297088,-0.09601067101001695,1.038477089316974,0.004817865191513874,0.0026683636268486355,0.012886576852501164,0.8407737522892957,0.8343422280397613,1.0,0.03630434389534553
deephit,inner_oof,0.95,0.1,2,1,21040084,10.0,14551,0.04487532435471275,0.041509174627173406,1.0810941137175911,-0.045295013387603764,0.9874349155632306,0.0031686200396020938,0.003162145655352222,0.004138243660972707,0.8426191965135753,0.8360383495817543,1.0,0.036499978884798716
deephit,inner_oof,0.2,0.1,1,3,21055791,10.0,14551,0.05802622728382351,0.041509174627173406,1.3979133000114496,-0.22679730294625847,1.6042764257489164,0.017187381815077583,0.015319226015268361,0.03700064577459217,0.8403275265824215,0.833878349925755,1.0,0.03700897557894693
deephit,inner_oof,0.2,0.1,2,1,21040084,10.0,14551,0.05966990399547141,0.041509174627173406,1.4375112136392454,-0.27102315902291163,1.6347038983795887,0.019257042727968743,0.015793393678113627,0.04318768195997347,0.845076821097086,0.838454257945518,1.0,0.03699769981921081
deephit,inner_oof,0.85,0.1,3,2,21048134,10.0,14551,0.04927127312826413,0.041509174627173406,1.1869971776314092,-0.14484959217600255,1.099446611432653,0.00752386166294292,0.004043803520369614,0.020001235047111265,0.8349935921086308,0.8286531403845209,1.0,0.03649932298907634
deephit,inner_oof,0.85,0.1,1,3,21055791,10.0,14551,0.04628131539081713,0.041509174627173406,1.114965927569172,-0.1234204429921552,0.9547268116119872,0.004545183636178506,0.0015081444482394346,0.01290709439686566,0.8375845264736844,0.8311997922978916,1.0,0.036492430422061885
deephit,inner_oof,0.7,0.1,2,1,21040084,10.0,14551,0.04958906193259304,0.041509174627173406,1.1946530466575513,-0.1201775297783832,1.1471350272382956,0.007809410046358259,0.005865056116889922,0.016991804089217077,0.8425258915373574,0.835861293761464,1.0,0.03641453728380039
deephit,inner_oof,0,0.1,0,3,21055660,10.0,14551,0.19614455264657313,0.041509174627173406,4.725330108543518,-1.4569621088160918,3.3082187587697733,0.16155271967955034,0.18804972457297653,0.24617932818633093,0.8332250710708515,0.8265845449967582,1.0,0.06496099491094033
deephit,inner_oof,0.7,0.1,1,2,21047872,10.0,14551,0.04797899856742267,0.041509174627173406,1.1558649141631905,-0.1047145645281958,1.1704711425832686,0.00689418698069726,0.0042096838064418565,0.01750123026487238,0.840428785036256,0.8340287921701698,1.0,0.03634172328267461
deephit,inner_oof,0.95,0.1,1,2,21047872,10.0,14551,0.047004501235138836,0.041509174627173406,1.1323882408485182,-0.11627201745065462,1.029776319143957,0.005228880029716442,0.0022321107062737156,0.01558931768078875,0.8355930706453998,0.8292861134893524,1.0,0.036499131669390804
deephit,inner_oof,0.95,0.1,0,2,21047741,10.0,14551,0.043531892328268006,0.041509174627173406,1.048729412696403,-0.014490335761459666,1.0355115204773697,0.0017984261383070267,0.0019638847761258016,0.0022412350530801595,0.83368732244158,0.827343554883411,1.0,0.036596330478593855
deephit,inner_oof,0.1,0.1,2,3,21055922,10.0,14551,0.06741046711586542,0.041509174627173406,1.623989581130724,-0.3840985904881979,2.005882157920036,0.02819756253345457,0.024610507212941557,0.061026952402956414,0.8418826095193868,0.8354201359709673,1.0,0.037619839944337256
deephit,inner_oof,0.05,0.1,0,1,21039822,10.0,14551,0.08816940270610389,0.041509174627173406,2.1240943357227104,-0.6553115082872649,2.411653988816524,0.04827840337067524,0.052162232913053996,0.09484440334612265,0.8391495809348256,0.8326868984852459,1.0,0.04015731803588401
deephit,inner_oof,0.95,0.1,0,3,21055660,10.0,14551,0.04572154605322948,0.041509174627173406,1.1014804910936125,-0.10687562668068391,0.9608640976970371,0.003865503067203723,0.0010767793946128146,0.011707779395583096,0.8360649374144408,0.8295535276294823,1.0,0.03654343215432721
deephit,inner_oof,0.7,0.1,4,2,21048265,10.0,14551,0.04973299941414062,0.041509174627173406,1.1981206531045694,-0.11909965060918105,1.2303690507613374,0.008698635253789342,0.006250195004808612,0.020533178348566383,0.8384347176183062,0.8320345172268282,1.0,0.03642047677991629
deephit,inner_oof,0.1,0.1,4,1,21040346,10.0,14551,0.07042261503060798,0.041509174627173406,1.696555416076782,-0.4369155859338629,2.04598001645872,0.030875415505232852,0.028397961611962952,0.06562110626804363,0.8371974176601391,0.8308244711481526,1.0,0.03807577482953123
deephit,inner_oof,0.3,0.1,1,3,21055791,10.0,14551,0.05115268273172515,0.041509174627173406,1.2323223285253848,-0.10442758786757317,1.4359523227588282,0.01130280133167263,0.009394625464977269,0.024495578875649626,0.8404842219623295,0.8339875934249824,1.0,0.03656842954155302
deephit,inner_oof,0.85,0.1,0,1,21039822,10.0,14551,0.04890520648611145,0.041509174627173406,1.1781782443367672,-0.1428527792195031,1.0312940519950669,0.007162910645610837,0.00420103821369755,0.018292496747785436,0.839983508998351,0.8336501007422631,1.0,0.036489363612718324
deephit,inner_oof,0.2,0.1,4,3,21056184,10.0,14551,0.05638233554737015,0.041509174627173406,1.3583102062082495,-0.21821396608357027,1.493831308662254,0.015707630816926495,0.01354992764193308,0.03478567197477356,0.8387700101187229,0.8324770696151874,1.0,0.03689729360535052
deephit,inner_oof,0.95,0.1,1,1,21039953,10.0,14551,0.04372969079063134,0.041509174627173406,1.0534945872425105,-0.0967345638358404,0.8636408129800021,0.0048609890086561075,0.0029362647899463523,0.006191652852907792,0.8378677652437302,0.8313203669047516,1.0,0.0366616511446846
deephit,inner_oof,0,0.1,2,2,21048003,10.0,14551,0.20395860437859548,0.041509174627173406,4.91357889455785,-1.4726679918520997,3.992939547133915,0.16207328627814444,0.18014922437214242,0.2282501494843241,0.8387893002696585,0.8325343643440375,1.0,0.06671111563970354
deephit,inner_oof,0.3,0.1,3,3,21056053,10.0,14551,0.053002052527451486,0.041509174627173406,1.2768756065015667,-0.19843716453864937,1.3664943874140185,0.01295734798179938,0.008439581666473295,0.030812528520655857,0.8384381601683193,0.8321103484856004,1.0,0.0367704137480503
deephit,inner_oof,0.2,0.1,4,1,21040346,10.0,14551,0.06088532525852395,0.041509174627173406,1.466791999729771,-0.30582605777836946,1.641401133224311,0.021052801803705626,0.016483935409984718,0.04802112181087592,0.8409318721726574,0.8344888351400542,1.0,0.037136665306580614
deephit,inner_oof,0.85,0.1,1,1,21039953,10.0,14551,0.04600606113178738,0.041509174627173406,1.108334760809003,-0.14498584113976418,0.9125579645970239,0.004432393473492634,0.000634697474879764,0.015969274294452607,0.83432846770437,0.8278733858546636,1.0,0.03669391294854246
deephit,inner_oof,0.5,0.1,0,3,21055660,10.0,14551,0.051557731620845905,0.041509174627173406,1.2420803854551796,-0.1741757747456741,1.2009266014570306,0.010133131285121432,0.0066370013418602936,0.024805938711077946,0.8361780667303894,0.8298191985222841,1.0,0.03667406192360259
deephit,inner_oof,0.2,0.1,3,2,21048134,10.0,14551,0.0621009080159057,0.041509174627173406,1.496076676389807,-0.34857118398952736,1.5685962485671974,0.02209691564819641,0.01638613515482329,0.050888972966651735,0.8399013626325204,0.8334507894644175,1.0,0.037378922819961566
deephit,inner_oof,0,0.1,3,2,21048134,10.0,14551,0.20426239280151426,0.041509174627173406,4.920897479560981,-1.4769420506679907,3.717522683120245,0.16275768738000546,0.17857733460458847,0.2177431749873726,0.8308695359015231,0.8246365242158554,1.0,0.06619190695594944
deephit,inner_oof,0.1,0.1,0,3,21055660,10.0,14551,0.07100087045631961,0.041509174627173406,1.7104862020031562,-0.42996429187556534,2.1103547516076184,0.031612172894846795,0.029543820597155324,0.06601334626032185,0.8398189788494476,0.833390821756331,1.0,0.03799601047221859
deephit,inner_oof,0.7,0.1,1,1,21039953,10.0,14551,0.04989274728168618,0.041509174627173406,1.2019691485030055,-0.1773790177119066,1.0342828182820214,0.008259827763962184,0.0037650599272407437,0.02379746484966938,0.8363687127759442,0.8297243077593914,1.0,0.03665012201851921
