split,model,horizon_y,metric,fmi_single,df_single,m_single,se_single,m_required_von_hippel_single,fmi_ens,df_ens,m_ens,se_ens,m_required_von_hippel_ens
cv,deephit,5.0,mean_pred,0.957247256288309,35.10887277346424,30,0.0004341391627294,191.0,0.5681194768728827,96.09229968708205,30,0.0001977911890852,96.0
cv,deephit,5.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0
cv,deephit,5.0,eo,0.2803284381575555,378.3749044074029,30,0.0496407026006503,32.0,0.045743757213876,10308.576068835577,30,0.0432515512875267,3.0
cv,deephit,5.0,calib_intercept,0.2830913340177148,371.22760740236765,30,0.0573919985104042,33.0,0.0416380006045012,11813.01340943454,30,0.0493165739109869,2.0
cv,deephit,5.0,calib_slope,0.247934539753515,480.3792625810312,30,0.0687768316045459,26.0,0.0369138462958873,13917.40045545488,30,0.0707617441076617,2.0
cv,deephit,5.0,ici,0.2671426544345229,415.5303367448879,30,0.0006006433472903,30.0,0.0484167123702627,9464.031415801452,30,0.0006152688810232,3.0
cv,deephit,5.0,e50,0.1508794811340297,1254.559301869026,30,0.0003008236372879,12.0,0.045206593282304,10490.39116492636,30,0.0003376516052521,3.0
cv,deephit,5.0,e90,0.3011505381555978,329.1666789667834,30,0.0020509360571637,36.0,0.0487785126348039,9356.979732083732,30,0.00182541519279,3.0
cv,deephit,5.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006290996904501,2.0
cv,deephit,5.0,eo_concordant,0.2803284381575555,378.3749044074029,30,0.0496407026006503,32.0,0.045743757213876,10308.576068835577,30,0.0432515512875267,3.0
cv,deephit,5.0,calib_intercept_concordant,0.2830913340177148,371.22760740236765,30,0.0573919985104042,33.0,0.0416380006045012,11813.01340943454,30,0.0493165739109869,2.0
cv,deephit,5.0,calib_slope_concordant,0.247934539753515,480.3792625810312,30,0.0687768316045459,26.0,0.0369138462958873,13917.40045545488,30,0.0707617441076617,2.0
cv,deephit,5.0,ici_concordant,0.2671426544345229,415.5303367448879,30,0.0006006433472903,30.0,0.0484167123702627,9464.031415801452,30,0.0006152688810232,3.0
cv,deephit,5.0,e50_concordant,0.1508794811340297,1254.559301869026,30,0.0003008236372879,12.0,0.045206593282304,10490.39116492636,30,0.0003376516052521,3.0
cv,deephit,5.0,e90_concordant,0.3011505381555978,329.1666789667834,30,0.0020509360571637,36.0,0.0487785126348039,9356.979732083732,30,0.00182541519279,3.0
cv,deephit,5.0,auc,0.0292812687233699,18389.4953592733,30,0.0072103217734671,2.0,0.0299771430471195,17918.707649943666,30,0.0071570430753512,2.0
cv,deephit,5.0,cindex,0.0535368389001924,8090.974238355785,30,0.0072397784569799,3.0,0.0324840681946114,16332.334728856797,30,0.0070780558300732,2.0
cv,deephit,5.0,auc_marginal_ipcw,0.0272922380133247,19810.9205970853,30,0.0072703372905611,2.0,0.0294423146488439,18279.33527911031,30,0.0072289059009176,2.0
cv,deephit,5.0,cindex_marginal_ipcw,0.0262529036092319,20599.08863401657,30,0.0072353401325768,2.0,0.0288409718237934,18694.40687321995,30,0.0071982276636539,2.0
cv,deephit,5.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.001962049614007,2.0,4.860149189361204e-05,41148.00014579739,30,0.001962049614007,2.0
cv,deephit,5.0,nb_at_0.01,0.0137551888192015,32148.80706274302,30,0.0006055214100209,2.0,0.006057340013018,38920.79606658807,30,0.0006083334407873,2.0
cv,deephit,5.0,nb_at_0.02,0.0166152312902426,29280.151396631805,30,0.0005708810872307,2.0,0.0139358874592595,31967.990643008503,30,0.0005752787835591,2.0
cv,deephit,5.0,nb_at_0.03,0.0360261647094869,14364.39606700553,30,0.0005462639040699,2.0,0.0202754862082407,25726.31273365749,30,0.0005507098134568,2.0
cv,deephit,5.0,nb_at_0.05,0.0720893446696026,4917.23228673783,30,0.0004879292441817,4.0,0.0336349096408279,15659.253828621368,30,0.0004963076617962,2.0
cv,deephit,5.0,nb_at_0.075,0.1074539508649115,2385.6545644749613,30,0.0003698748324298,7.0,0.0875515636374082,3478.4997965630787,30,0.0003794361675656,5.0
