model,split,statistic,n_imp,n_seed,sd_seed,sd_imputation,sd_single_seed_run,seed_share
deephit,temporal,mean_risk10,30,10,0.0028225103569782285,0.0,0.0027889316858315384,1.0242249134456591
deephit,temporal,frac_above_0.01,30,10,0.03780913825665209,0.008794402667945952,0.03878845767015584,0.9501420427976438
deephit,temporal,frac_above_0.02,30,10,0.026708544684724975,0.005575220549181088,0.027267083307876992,0.9594516166235795
deephit,temporal,frac_above_0.03,30,10,0.021034817124773696,0.004252949292791554,0.02144776601471565,0.9618633015410618
deephit,temporal,frac_above_0.05,30,10,0.015628857790578658,0.0022265846551310364,0.015781940541701227,0.980694350048171
deephit,temporal,frac_above_0.075,30,10,0.01468652006513638,0.0,0.014675114245872365,1.0015550477493733
deephit,temporal,frac_above_0.2,30,10,0.012424076720766562,0.0,0.012369784961326888,1.008797388891203
nfg,temporal,mean_risk10,30,10,0.0035329993786087257,0.0006386356274583964,0.0035885461524154975,0.969281781657476
nfg,temporal,frac_above_0.01,30,10,0.039543079658014714,0.003773675335887998,0.03971734037909966,0.9912442055275816
nfg,temporal,frac_above_0.02,30,10,0.025082727068240877,0.004409532682343956,0.025455881548305744,0.9708971407887634
nfg,temporal,frac_above_0.03,30,10,0.02213698195813928,0.00458126663195684,0.02259208330875393,0.9601172234586449
nfg,temporal,frac_above_0.05,30,10,0.019308993528229516,0.005331180792786371,0.020010078045945835,0.9311544195443142
nfg,temporal,frac_above_0.075,30,10,0.018189026349771622,0.004773477807878608,0.018786721400865094,0.9373826570431145
nfg,temporal,frac_above_0.2,30,10,0.013418593950890609,0.0,0.013411641395573505,1.001037062832813
