part,model,split,imp,rep,fold,secs,status,seed_used,mean_risk10,n_epochs
deephit__cvr1f4__imp2,deephit,cv,2,1,4,109.0,fitted,20263007,0.040384031724524296,19
deephit__cvr0f2__imp3,deephit,cv,3,0,2,108.4,fitted,20263905,0.03828583012593027,17
deephit__cvr2f1__imp1,deephit,cv,1,2,1,108.4,fitted,20262104,0.03921392483402205,17
deephit__cvr2f0__imp4,deephit,cv,4,2,0,113.2,fitted,20265103,0.04331590548860864,16
deephit__cvr1f4__imp4,deephit,cv,4,1,4,113.9,fitted,20265007,0.03730022075301606,17
deephit__cvr1f1__imp5,deephit,cv,5,1,1,115.0,fitted,20266004,0.03832715813965022,18
deephit__cvr2f2__imp3,deephit,cv,3,2,2,117.8,fitted,20264105,0.040940249868320705,18
deephit__cvr1f0__imp4,deephit,cv,4,1,0,117.8,fitted,20265003,0.03716399787758561,18
deephit__cvr2f4__imp4,deephit,cv,4,2,4,118.1,fitted,20265107,0.03845303401175976,14
deephit__cvr1f3__imp4,deephit,cv,4,1,3,122.4,fitted,20265006,0.03928593635180704,20
deephit__cvr0f4__imp4,deephit,cv,4,0,4,124.2,fitted,20264907,0.03693979395471301,19
deephit__cvr1f0__imp5,deephit,cv,5,1,0,124.5,fitted,20266003,0.040547491250899355,18
deephit__cvr1f2__imp5,deephit,cv,5,1,2,124.7,fitted,20266005,0.03958748933910715,14
deephit__cvr0f3__imp4,deephit,cv,4,0,3,126.1,fitted,20264906,0.04313453552780118,14
deephit__cvr1f1__imp2,deephit,cv,2,1,1,126.7,fitted,20263004,0.038134229342827376,18
deephit__cvr1f0__imp2,deephit,cv,2,1,0,129.3,fitted,20263003,0.04036371016170543,15
deephit__cvr1f1__imp3,deephit,cv,3,1,1,129.7,fitted,20264004,0.03917010996564481,18
deephit__cvr0f1__imp1,deephit,cv,1,0,1,130.2,fitted,20261904,0.03928075309744875,21
deephit__cvr2f1__imp3,deephit,cv,3,2,1,131.1,fitted,20264104,0.0444636602284146,20
deephit__cvr0f4__imp3,deephit,cv,3,0,4,132.4,fitted,20263907,0.041977408477546115,22
deephit__cvr0f0__imp4,deephit,cv,4,0,0,132.7,fitted,20264903,0.04395003849013527,16
deephit__cvr0f1__imp5,deephit,cv,5,0,1,133.4,fitted,20265904,0.044411862788254305,15
deephit__cvr2f0__imp1,deephit,cv,1,2,0,134.0,fitted,20262103,0.040670201486738035,22
deephit__cvr1f2__imp3,deephit,cv,3,1,2,134.1,fitted,20264005,0.039411815887112664,17
deephit__cvr0f3__imp2,deephit,cv,2,0,3,134.3,fitted,20262906,0.04093216050421648,21
deephit__cvr1f0__imp1,deephit,cv,1,1,0,135.4,fitted,20262003,0.038268403579139465,22
deephit__cvr0f3__imp3,deephit,cv,3,0,3,135.6,fitted,20263906,0.03839007218463132,21
deephit__cvr1f2__imp2,deephit,cv,2,1,2,136.3,fitted,20263005,0.036932359273205706,19
deephit__cvr0f1__imp3,deephit,cv,3,0,1,137.6,fitted,20263904,0.04378449100900608,21
deephit__cvr2f4__imp2,deephit,cv,2,2,4,138.2,fitted,20263107,0.036773800310525115,16
deephit__cvr2f4__imp3,deephit,cv,3,2,4,138.4,fitted,20264107,0.03863216668651927,24
deephit__cvr1f3__imp1,deephit,cv,1,1,3,138.4,fitted,20262006,0.038727429413394056,20
deephit__cvr1f0__imp3,deephit,cv,3,1,0,138.4,fitted,20264003,0.04253981782240438,17
deephit__cvr0f4__imp5,deephit,cv,5,0,4,138.7,fitted,20265907,0.03702658590328176,17
deephit__cvr2f3__imp3,deephit,cv,3,2,3,140.0,fitted,20264106,0.04049300942402536,19
deephit__cvr0f1__imp2,deephit,cv,2,0,1,142.9,fitted,20262904,0.039160418175314016,17
