model,config,protocol,seed,imp,seed_used,horizon,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,default,temporal_test,5,1,20815588,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06361326304423809,0.03296079030764276,1.9299677723288025,-0.6055679583003852,1.3271046224785854,0.030838489257168214,0.02335739393368963,0.0749510358870091,0.8237043925170976,0.8239740372158811,0.7793975774466717,0.03251935525292272
deephit,default,temporal_test,4,1,20815251,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.068068036855872,0.03296079030764276,2.0651215040826485,-0.6984430141355231,1.2964287804712196,0.03535109559402712,0.01971322252919383,0.09176451770988427,0.8223669426157904,0.8228888586517658,0.7793975774466717,0.03327004815302333
deephit,default,temporal_test,7,1,20816262,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.062909919860193,0.03296079030764276,1.9086289883530432,-0.6068489338719455,1.5232496288631499,0.030692079383199254,0.020538519554280987,0.07213533622045187,0.8270033674601207,0.8263288630636975,0.7793975774466717,0.032548269682430644
deephit,default,temporal_test,8,1,20816599,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.0590932944173857,0.03296079030764276,1.7928360899672808,-0.5962694741602182,1.1230815212204774,0.026238218580065073,0.011999738295055518,0.0743515526367284,0.8207186006641226,0.8202670400234149,0.7793975774466717,0.032439511704530515
deephit,default,temporal_test,0,1,20813903,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.0571414572443985,0.03296079030764276,1.7336191490271657,-0.5629251036576072,1.0854600460215513,0.02462627239652168,0.012378941356116613,0.06994216169954529,0.8217781239149876,0.8212256237549924,0.7793975774466717,0.032249721719503854
deephit,default,temporal_test,6,1,20815925,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05781157140222399,0.03296079030764276,1.7539497949725729,-0.5622658049705921,1.102317766667136,0.02508289272148278,0.012971233107565205,0.06938519589459877,0.8242813849139827,0.8239034168239595,0.7793975774466717,0.03226259673174507
deephit,tuned_brier,temporal_test,4,1,20815251,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04782201657998108,0.03296079030764276,1.4508759084242098,-0.42224302439168404,0.9561188637193532,0.01492153405397023,0.003903919448405513,0.05166609716438151,0.8275722158003139,0.8272894427620263,0.7793975774466717,0.031495713027519266
deephit,default,temporal_test,10,1,20817273,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05802910422670981,0.03296079030764276,1.7605495403808429,-0.535286235235272,1.5504145549374817,0.02652190064404334,0.017890446096809565,0.061825722542334094,0.8250182386296812,0.8248978223486771,0.7793975774466717,0.032117602323522135
deephit,default,temporal_test,11,1,20817610,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05250816054025744,0.03296079030764276,1.593049197248227,-0.45793490345762894,1.2716401188555952,0.020260961847746877,0.011139719823259564,0.05091927302115884,0.8192432281766585,0.8192533641930034,0.7793975774466717,0.031781340095976746
deephit,tuned_brier,temporal_test,7,1,20816262,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.045356758615878796,0.03296079030764276,1.3760822538700392,-0.3649188646830449,0.9352762675443715,0.012451797980188209,0.004001878487276289,0.04061853286244095,0.8254077295952995,0.8254268787039954,0.7793975774466717,0.031269115585638343
