model,cfg_id,seed,seed_used,imp,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,deephit_039,2,20264539,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [64]}",0.2004127755541141,0.041509174627173406,4.8281561210064785,-1.6480299190644312,2.33567018236842,0.1607510163775603,0.15205099321357973,0.3339742990467224,0.8332717235589604,0.826504646160887,1.0,0.08050747933253057
deephit,deephit_039,1,20263548,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [64]}",0.20969396342771032,0.041509174627173406,5.051749771252668,-1.7094249958773302,2.063603997455083,0.16907368448409799,0.16013317241948177,0.3553496476943363,0.8310842797971697,0.8245323942421238,1.0,0.08559657991627474
deephit,deephit_019,2,20264199,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.05, ""trunk"": [64]}",0.17579272294153395,0.041509174627173406,4.235032966096456,-1.530589519410103,1.1402616154962557,0.134516574768958,0.14217520705535958,0.18598533376417403,0.5993738357651981,0.5971541371152348,1.0,0.059695510833621665
deephit,deephit_036,1,20263497,1,"{""alpha"": 0.1, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64, 64]}",0.07431022917274335,0.041509174627173406,1.7902121600870664,-0.6387404540713739,0.9021790032848762,0.03327288748631995,0.016882270805307707,0.0878046360177118,0.833613960513714,0.8270113500509203,1.0,0.039422316563028435
deephit,deephit_037,2,20264505,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.05782137956745744,0.041509174627173406,1.392978301467008,-0.2469373420418328,0.9929940535025479,0.0187045385568369,0.01669455195267655,0.027202438483739266,0.8332520179278508,0.8269121011697074,1.0,0.037304744226779624
deephit,deephit_039,0,20262557,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [64]}",0.2120276388416491,0.041509174627173406,5.107970484743104,-1.767208511970545,1.8006357173958198,0.17205377035494168,0.14588164827386685,0.38089204951822675,0.8210515019726998,0.8144342273364192,1.0,0.08983021245080305
deephit,deephit_029,1,20263378,1,"{""alpha"": 0.5, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 64]}",0.05529289125763374,0.041509174627173406,1.332064338890444,-0.22767647949261122,1.1112049734095182,0.013398209413317836,0.00944566593413957,0.030123956393058482,0.8362705407462594,0.8295754925458163,1.0,0.03683712401610356
deephit,deephit_040,2,20264556,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.05, ""trunk"": [32]}",0.1997206322923801,0.041509174627173406,4.811481656434473,-1.4869838873787196,5.516115167359095,0.15818302620872482,0.16608812317204624,0.18108186767087142,0.8158308155234789,0.8095069387635565,1.0,0.06293713359519479
deephit,deephit_000,1,20262885,1,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05850378350370579,0.041509174627173406,1.4094181353682493,-0.26188135605571966,1.6347901618768208,0.01901007241424129,0.01473153491441459,0.04324322500043465,0.8385751499171177,0.8321549756171996,1.0,0.03700421857243349
deephit,deephit_000,2,20263876,1,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.0610594054757641,0.041509174627173406,1.4709857766189454,-0.3080295184488446,1.8112274387300284,0.02216825320834916,0.017571582202207003,0.050319283026902695,0.8369944259179857,0.8305431691376423,1.0,0.03730417433869563
deephit,deephit_037,0,20262523,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.058407252276326344,0.041509174627173406,1.4070925958159342,-0.20775894143078844,1.2255233815667759,0.017946628870708185,0.02019752935445529,0.02199848938172365,0.8292451271298107,0.822987237918744,1.0,0.03697361740411298
deephit,deephit_014,2,20264114,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.054730299399311705,0.041509174627173406,1.3185109048996428,-0.14645918962200583,1.2980143921284628,0.0137133774662885,0.014477997836237266,0.0202202082596028,0.8314685396038076,0.8248799396511018,1.0,0.036786055001280064
