model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
cox_naive,1,933.0,0.0007042131779104312,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
cox_naive,2,933.0,0.001348498223163177,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
cox_naive,3,933.0,0.00220373681288454,0.0009289031797070382,0.0,0.0029671311182565187,0.8666666666666667,1.0,30,temporal,5.0,True
cox_naive,4,933.0,0.0035203733551953495,0.0012147195426938193,0.0,0.003536977491961415,1.1333333333333333,1.0,30,temporal,5.0,True
cox_naive,5,932.0,0.005741749896963783,0.003183118741058655,0.0,0.0070851216022889815,2.966666666666667,1.0,30,temporal,5.0,True
cox_naive,6,933.0,0.009363360277366948,0.0028581636298678098,7.145409074669524e-05,0.00659253304751697,2.6666666666666665,1.0,30,temporal,5.0,True
cox_naive,7,933.0,0.015558180181081216,0.013790639514112189,0.006983744194355127,0.02156573776348696,12.866666666666667,1.0,30,temporal,5.0,True
cox_naive,8,933.0,0.025831398008984024,0.028724544480171494,0.018555734190782425,0.03980350125044659,26.8,1.0,30,temporal,5.0,False
cox_naive,9,933.0,0.04564945972445548,0.024901750625223297,0.015558235083958557,0.0352304394426581,23.233333333333334,1.0,30,temporal,5.0,False
cox_naive,10,933.0,0.10417301077543048,0.06266523758485175,0.0478126116470168,0.07810468024294391,58.46666666666667,1.0,30,temporal,5.0,False
csc_cox,1,933.0,0.0007031688685002202,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
csc_cox,2,933.0,0.0013452030322617422,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
csc_cox,3,933.0,0.002195536327592379,0.0009289031797070382,0.0,0.0029296177206145054,0.8666666666666667,1.0,30,temporal,5.0,True
csc_cox,4,933.0,0.0035009940430417367,0.0012147195426938193,0.0,0.0036084315827081105,1.1333333333333333,1.0,30,temporal,5.0,True
csc_cox,5,932.0,0.0056934025804299656,0.003183118741058655,0.0,0.007156652360515018,2.966666666666667,1.0,30,temporal,5.0,True
csc_cox,6,933.0,0.009246249709383033,0.0029296177206145054,7.145409074669524e-05,0.006823865666309397,2.7333333333333334,1.0,30,temporal,5.0,True
csc_cox,7,933.0,0.015265421894576957,0.013683458377992145,0.006944444444444445,0.02143979992854591,12.766666666666667,1.0,30,temporal,5.0,True
csc_cox,8,933.0,0.025105021370767422,0.02879599857091819,0.01855752054305109,0.0396605930689532,26.866666666666667,1.0,30,temporal,5.0,False
csc_cox,9,933.0,0.0436225967070931,0.024723115398356563,0.015199178277956414,0.03485619864237228,23.066666666666666,1.0,30,temporal,5.0,False
csc_cox,10,933.0,0.09480078454392554,0.06280814576634514,0.04743658449446232,0.07871025366202214,58.6,1.0,30,temporal,5.0,False
deephit,1,933.0,0.0011743206656801587,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
deephit,2,933.0,0.001853607737764877,0.000285816362986781,0.0,0.0008931761343336906,0.26666666666666666,1.0,30,temporal,5.0,True
deephit,3,933.0,0.0025760765126979102,0.00039299749910682387,0.0,0.001233476241514826,0.36666666666666664,1.0,30,temporal,5.0,True
deephit,4,933.0,0.003609138667690039,0.000285816362986781,0.0,0.0008574490889603433,0.26666666666666666,1.0,30,temporal,5.0,True
deephit,5,932.0,0.005358763791149793,0.0015021459227467812,0.0,0.00395475679542203,1.4,1.0,30,temporal,5.0,True
deephit,6,933.0,0.008277821503081399,0.008574490889603431,0.0031797070382279385,0.014847266881028939,8.0,1.0,30,temporal,5.0,True
deephit,7,933.0,0.013798265087849367,0.013540550196498751,0.006571989996427296,0.02150946766702394,12.633333333333333,1.0,30,temporal,5.0,True
deephit,8,933.0,0.026346903790753506,0.015076813147552699,0.007948374419435513,0.023137727759914253,14.066666666666666,1.0,30,temporal,5.0,True
deephit,9,933.0,0.05102838148038977,0.030082172204358704,0.01948463737048946,0.04139246159342623,28.066666666666666,1.0,30,temporal,5.0,False
deephit,10,933.0,0.10056646238887539,0.06852447302608076,0.05272597356198643,0.0848383351196856,63.93333333333333,1.0,30,temporal,5.0,False
fine_gray,1,933.0,0.0013732096014259635,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
fine_gray,2,933.0,0.0023334905582675673,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
fine_gray,3,933.0,0.0034874574548236542,0.0005359056806002145,0.0,0.001714898177920686,0.5,1.0,30,temporal,5.0,True
fine_gray,4,933.0,0.005154933804553742,0.0015719899964272955,0.0,0.004306002143622723,1.4666666666666666,1.0,30,temporal,5.0,True
fine_gray,5,932.0,0.007733745283823288,0.0027181688125894133,3.57653791130186e-05,0.006386802575107294,2.533333333333333,1.0,30,temporal,5.0,True
fine_gray,6,933.0,0.011635548308931883,0.0038585209003215437,0.0005001786352268667,0.008416398713826363,3.6,1.0,30,temporal,5.0,True
fine_gray,7,933.0,0.017756574302989953,0.014648088603072531,0.007465166130760986,0.02253215434083601,13.666666666666666,1.0,30,temporal,5.0,True
