model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
cox_naive,0.001,0.014969370663959116,0.8645681622425809,30,cv,5.0
cox_naive,0.002,0.014264116500207981,0.7243585278068037,30,cv,5.0
cox_naive,0.003,0.013551927250336715,0.6384764512270527,30,cv,5.0
cox_naive,0.004,0.0128826600335127,0.5766383427971239,30,cv,5.0
cox_naive,0.005,0.01234689478082716,0.5324687667911405,30,cv,5.0
cox_naive,0.006,0.01182141319157226,0.496175062574421,30,cv,5.0
cox_naive,0.007,0.011374815980578185,0.4658612319398206,30,cv,5.0
cox_naive,0.008,0.010968612283255623,0.43879425098350516,30,cv,5.0
cox_naive,0.009,0.010602987986475411,0.41457180735448573,30,cv,5.0
cox_naive,0.01,0.010293262281230727,0.3928315499285828,30,cv,5.0
cox_naive,0.011,0.00995014429200837,0.3730942139923696,30,cv,5.0
cox_naive,0.012,0.00962657054737568,0.3552901374072184,30,cv,5.0
cox_naive,0.013,0.009314686253269432,0.33886688321331465,30,cv,5.0
cox_naive,0.014,0.009000360445670272,0.32395513542265747,30,cv,5.0
cox_naive,0.015,0.008640114536324708,0.30998328648689516,30,cv,5.0
cox_naive,0.016,0.008292454601717215,0.2972920868670668,30,cv,5.0
cox_naive,0.017,0.007983306386488828,0.2849311073849967,30,cv,5.0
cox_naive,0.018,0.007701437663528584,0.2731676562470468,30,cv,5.0
cox_naive,0.019,0.007368754309073481,0.2621294473740344,30,cv,5.0
cox_naive,0.02,0.007115649378897509,0.2517462786107533,30,cv,5.0
cox_naive,0.025,0.0060077980852439395,0.20744115844356423,30,cv,5.0
cox_naive,0.03,0.005114308816087286,0.17319735715886478,30,cv,5.0
cox_naive,0.035,0.004568479601946094,0.14562033054414772,30,cv,5.0
cox_naive,0.04,0.004042423753778648,0.12355336308824681,30,cv,5.0
cox_naive,0.045,0.0034506503215423557,0.10430744223847672,30,cv,5.0
cox_naive,0.05,0.0028745648474368815,0.08850358706012275,30,cv,5.0
cox_naive,0.055,0.0024436182379284394,0.07564336225122112,30,cv,5.0
cox_naive,0.06,0.0021024782327719927,0.06507550781809002,30,cv,5.0
cox_naive,0.065,0.0018339281499339243,0.05589387594199142,30,cv,5.0
cox_naive,0.07,0.0016418339776380988,0.04850320904851779,30,cv,5.0
cox_naive,0.075,0.0013496041866705142,0.04214964399407062,30,cv,5.0
cox_naive,0.08,0.0010513766385113843,0.03669061640192354,30,cv,5.0
cox_naive,0.085,0.0008301318211927561,0.03191254971527625,30,cv,5.0
cox_naive,0.09,0.0005787183296675495,0.02803118055724311,30,cv,5.0
cox_naive,0.095,0.00042975127222171265,0.024704138417049402,30,cv,5.0
cox_naive,0.1,0.0002583770084363506,0.02163819429256478,30,cv,5.0
cox_naive,0.125,-0.00012144970354971554,0.011987558018031152,30,cv,5.0
cox_naive,0.15,-0.0002217773853754251,0.0068274296020887845,30,cv,5.0
cox_naive,0.2,-0.00010279415792018586,0.0025891094856612096,30,cv,5.0
csc_cox,0.001,0.014969984353477954,0.8641450592533191,30,cv,5.0
csc_cox,0.002,0.01426292244569247,0.7235085417122307,30,cv,5.0
csc_cox,0.003,0.013550126330564615,0.6372246927980689,30,cv,5.0
csc_cox,0.004,0.012882668443104496,0.5751136059877039,30,cv,5.0
csc_cox,0.005,0.012349196244507346,0.5307309934414987,30,cv,5.0
csc_cox,0.006,0.011815725138458376,0.49404334713075687,30,cv,5.0
csc_cox,0.007,0.011379850815134167,0.4636136829400662,30,cv,5.0
csc_cox,0.008,0.010962941683352217,0.4360787776184729,30,cv,5.0
csc_cox,0.009,0.010616242745129465,0.4115015430973731,30,cv,5.0
csc_cox,0.01,0.010292647407678398,0.389482097100381,30,cv,5.0
csc_cox,0.011,0.009947535488588372,0.36953739479802034,30,cv,5.0
csc_cox,0.012,0.009630737434954767,0.351495440910036,30,cv,5.0
csc_cox,0.013,0.009318016019435256,0.3348143287998942,30,cv,5.0
csc_cox,0.014,0.008989913692457956,0.3197732470386841,30,cv,5.0
csc_cox,0.015,0.008635972019316124,0.30562913281437737,30,cv,5.0
csc_cox,0.016,0.008279939163783032,0.2925480412248656,30,cv,5.0
csc_cox,0.017,0.007986599262810904,0.27998320548440836,30,cv,5.0
csc_cox,0.018,0.00765271377842404,0.2679033046314522,30,cv,5.0
csc_cox,0.019,0.007365163882850333,0.256548106026855,30,cv,5.0
csc_cox,0.02,0.007090211438517037,0.2463280222702837,30,cv,5.0
csc_cox,0.025,0.006018415098453451,0.20075008302754896,30,cv,5.0
csc_cox,0.03,0.005139942443179556,0.1659165836391177,30,cv,5.0
csc_cox,0.035,0.004597554593238292,0.13806009844502226,30,cv,5.0
csc_cox,0.04,0.00404471383678564,0.11521550711606846,30,cv,5.0
csc_cox,0.045,0.0033769814660955465,0.09591963473278631,30,cv,5.0
csc_cox,0.05,0.0028234930776267456,0.08030640540664599,30,cv,5.0
csc_cox,0.055,0.0024250448359245864,0.06784444282439471,30,cv,5.0
csc_cox,0.06,0.002077974118294242,0.05718208549002455,30,cv,5.0
csc_cox,0.065,0.0018530891532903542,0.04857989140266606,30,cv,5.0
