model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
cox_naive,0.001,0.012939240737861528,0.9015471468896272,30,temporal,5.0
cox_naive,0.002,0.012300665217239066,0.7687462035945261,30,temporal,5.0
cox_naive,0.003,0.011714999932444634,0.6826490870761426,30,temporal,5.0
cox_naive,0.004,0.01120007955500854,0.6199056704898703,30,temporal,5.0
cox_naive,0.005,0.010707394118554323,0.5761996641297745,30,temporal,5.0
cox_naive,0.006,0.010232948769905317,0.5397077214420982,30,temporal,5.0
cox_naive,0.007,0.009880515306146134,0.5069174974095115,30,temporal,5.0
cox_naive,0.008,0.009480092715857707,0.4805945617608175,30,temporal,5.0
cox_naive,0.009,0.009151293646967488,0.4557187265516133,30,temporal,5.0
cox_naive,0.01,0.008821014663012735,0.43446957515989565,30,temporal,5.0
cox_naive,0.011,0.008589590364123628,0.41528209525851284,30,temporal,5.0
cox_naive,0.012,0.008310061250242124,0.39815271375996,30,temporal,5.0
cox_naive,0.013,0.00799052418641757,0.3817057919748455,30,temporal,5.0
cox_naive,0.014,0.007513318810508299,0.36820309429377923,30,temporal,5.0
cox_naive,0.015,0.007101375384764392,0.3562010933647765,30,temporal,5.0
cox_naive,0.016,0.006867764679361875,0.3427198342087398,30,temporal,5.0
cox_naive,0.017,0.00667791880265874,0.3305784828670454,30,temporal,5.0
cox_naive,0.018,0.0064255684029033856,0.3196019580519527,30,temporal,5.0
cox_naive,0.019,0.006110981263435728,0.3090184728624004,30,temporal,5.0
cox_naive,0.02,0.005751285399999854,0.2986350805731232,30,temporal,5.0
cox_naive,0.025,0.004072678432202495,0.25492907421302746,30,temporal,5.0
cox_naive,0.03,0.0027775045777881416,0.21819416157501698,30,temporal,5.0
cox_naive,0.035,0.00202075686139253,0.19082788437488835,30,temporal,5.0
cox_naive,0.04,0.0015452114672288321,0.16792082038089115,30,temporal,5.0
cox_naive,0.045,0.0012229499971658495,0.14865115946689533,30,temporal,5.0
cox_naive,0.05,0.0006741851950059524,0.1322578339943545,30,temporal,5.0
cox_naive,0.055,0.00021262706437966217,0.11835137742523315,30,temporal,5.0
cox_naive,0.06,0.00016519827974842478,0.10472362168149499,30,temporal,5.0
cox_naive,0.065,0.0001101351677984942,0.09208561117661772,30,temporal,5.0
cox_naive,0.07,0.00015479537158381043,0.08129845999928538,30,temporal,5.0
