model,threshold,net_benefit,frac_above,n_above,n_total,n_imp,per_1000_above,split,horizon_y
cox_naive,0.01,0.029723361290438562,0.588320251431719,24209.966666666667,41151.0,30,588.3202514317189,cv,10.0
cox_naive,0.02,0.025110285931702822,0.44959107244592406,18501.12222222222,41151.0,30,449.59107244592406,cv,10.0
cox_naive,0.03,0.021628907885083492,0.36533714585037763,15033.988888888889,41151.0,30,365.3371458503776,cv,10.0
cox_naive,0.05,0.015529504233657038,0.26033200219246727,10712.922222222222,41151.0,30,260.33200219246726,cv,10.0
cox_naive,0.075,0.010315488100527116,0.17951420108597335,7387.188888888889,41151.0,30,179.51420108597335,cv,10.0
cox_naive,0.2,0.00041128598595555136,0.03597023428619259,1480.2111111111112,41151.0,30,35.970234286192586,cv,10.0
csc_cox,0.01,0.029734950246620817,0.5843090082865544,24044.9,41151.0,30,584.3090082865544,cv,10.0
csc_cox,0.02,0.02513001468857597,0.44238023107309393,18204.38888888889,41151.0,30,442.3802310730939,cv,10.0
csc_cox,0.03,0.021671371329587893,0.3553967906814739,14624.933333333332,41151.0,30,355.3967906814739,cv,10.0
csc_cox,0.05,0.015468542160973552,0.2451648265601754,10088.777777777777,41151.0,30,245.1648265601754,cv,10.0
csc_cox,0.075,0.010221299006155506,0.1592773498146393,6554.422222222222,41151.0,30,159.2773498146393,cv,10.0
csc_cox,0.2,0.00024711431481041026,0.018554969637567875,763.5555555555555,41151.0,30,18.554969637567876,cv,10.0
deephit,0.01,0.029948997696179654,0.5615057282258565,23106.522222222222,41151.0,30,561.5057282258565,cv,10.0
deephit,0.02,0.025549853372422698,0.4257493405047535,17520.01111111111,41151.0,30,425.7493405047535,cv,10.0
deephit,0.03,0.021944191523621037,0.3548100626689239,14600.788888888888,41151.0,30,354.8100626689239,cv,10.0
deephit,0.05,0.016228874526378508,0.26781339187113046,11020.788888888888,41151.0,30,267.8133918711305,cv,10.0
deephit,0.075,0.011085683736368115,0.19668618826597978,8093.833333333333,41151.0,30,196.68618826597978,cv,10.0
deephit,0.2,0.000488146338223498,0.0205543810194973,845.8333333333334,41151.0,30,20.5543810194973,cv,10.0
fine_gray,0.01,0.02967426370695336,0.6278265142739883,25835.68888888889,41151.0,30,627.8265142739883,cv,10.0
fine_gray,0.02,0.025058423735960685,0.46560742414792133,19160.21111111111,41151.0,30,465.60742414792134,cv,10.0
fine_gray,0.03,0.021505011381764857,0.36883294317135534,15177.844444444445,41151.0,30,368.83294317135534,cv,10.0
fine_gray,0.05,0.015490619793830636,0.247114556416882,10169.011111111111,41151.0,30,247.11455641688198,cv,10.0
fine_gray,0.075,0.010104198662565655,0.15406888991492038,6340.0888888888885,41151.0,30,154.06888991492036,cv,10.0
fine_gray,0.2,0.00019355210558730753,0.015693151779759638,645.7888888888889,41151.0,30,15.693151779759638,cv,10.0
gbs_naive,0.01,0.030091301884476493,0.5478543791294392,22544.755555555555,41151.0,30,547.8543791294393,cv,10.0
gbs_naive,0.02,0.02547482599930432,0.4143933318752886,17052.7,41151.0,30,414.3933318752886,cv,10.0
gbs_naive,0.03,0.021831435569652013,0.34034679864671846,14005.611111111111,41151.0,30,340.34679864671847,cv,10.0
gbs_naive,0.05,0.015959164111396862,0.24638796411049818,10139.111111111111,41151.0,30,246.3879641104982,cv,10.0
gbs_naive,0.075,0.010882555031401507,0.1761588080754079,7249.111111111111,41151.0,30,176.1588080754079,cv,10.0
gbs_naive,0.2,-0.0005774936783628748,0.04609689517468186,1896.9333333333334,41151.0,30,46.096895174681855,cv,10.0
logistic,0.01,0.029499706045061785,0.6331853687908219,26056.21111111111,41151.0,30,633.1853687908218,cv,10.0
logistic,0.02,0.024829754363594986,0.4991100526786172,20538.87777777778,41151.0,30,499.1100526786172,cv,10.0
logistic,0.03,0.021197178163633982,0.42148725965887157,17344.62222222222,41151.0,30,421.48725965887155,cv,10.0
logistic,0.05,0.015502815647102377,0.3233759676422066,13307.244444444445,41151.0,30,323.3759676422066,cv,10.0
logistic,0.075,0.00953574053386082,0.2460966251663926,10127.122222222222,41151.0,30,246.0966251663926,cv,10.0
logistic,0.2,-0.0032172475969056732,0.08161351553492692,3358.4777777777776,41151.0,30,81.61351553492692,cv,10.0
logistic_cr,0.01,0.029479181048493473,0.6687811015798185,27521.01111111111,41151.0,30,668.7811015798185,cv,10.0
logistic_cr,0.02,0.024752132148702567,0.504913610847853,20777.7,41151.0,30,504.913610847853,cv,10.0
logistic_cr,0.03,0.02125196766231916,0.4104571510345367,16890.722222222223,41151.0,30,410.4571510345367,cv,10.0
logistic_cr,0.05,0.015659530250599494,0.29187518056804346,12010.955555555556,41151.0,30,291.87518056804345,cv,10.0
logistic_cr,0.075,0.010347992183792122,0.19752618405385047,8128.4,41151.0,30,197.52618405385047,cv,10.0
