task,n,mean_risk10,secs
gbs_naive__temporal__imp3.parquet,9329,0.0507339180419231,27.021111011505127
gbs_naive__temporal__imp5.parquet,9329,0.05028852964021452,27.012651205062866
gbs_naive__temporal__imp2.parquet,9329,0.0504393415452793,27.029054880142212
gbs_naive__temporal__imp4.parquet,9329,0.050018101747666084,27.024269580841064
gbs_naive__cvr0f1__imp5.parquet,8230,0.044368929414624614,27.21275234222412
gbs_naive__cvr1f4__imp3.parquet,8229,0.042898117085879796,27.233424186706543
gbs_naive__cvr1f1__imp2.parquet,8230,0.04359531801043519,27.248085737228394
gbs_naive__cvr1f4__imp1.parquet,8229,0.042618738918291654,27.253336906433105
gbs_naive__cvr0f2__imp2.parquet,8230,0.04239772508210848,27.263468503952026
gbs_naive__cvr1f0__imp2.parquet,8232,0.04346981954611652,27.267964601516724
gbs_naive__cvr0f2__imp5.parquet,8230,0.042651554295859824,27.26288938522339
gbs_naive__cvr0f4__imp4.parquet,8229,0.04362836149621649,27.268773555755615
gbs_naive__cvr2f0__imp2.parquet,8232,0.04434317917875834,27.275636672973633
gbs_naive__cvr2f2__imp2.parquet,8230,0.04416673054683559,27.277010917663574
gbs_naive__cvr0f1__imp3.parquet,8230,0.04456746019224682,27.279581785202026
gbs_naive__cvr0f3__imp1.parquet,8230,0.043941367095392495,27.292287826538086
gbs_naive__cvr0f4__imp5.parquet,8229,0.04397113592678072,27.278547525405884
gbs_naive__cvr2f3__imp3.parquet,8230,0.04272254003702163,27.28652572631836
gbs_naive__cvr2f0__imp4.parquet,8232,0.04382411769274448,27.28252911567688
gbs_naive__cvr1f3__imp4.parquet,8230,0.04482910559223623,27.282970190048218
gbs_naive__cvr1f2__imp4.parquet,8230,0.04467620474412567,27.29542899131775
gbs_naive__cvr0f0__imp4.parquet,8232,0.04431535085296748,27.298357009887695
gbs_naive__cvr1f2__imp2.parquet,8230,0.044650939899172425,27.305786848068237
gbs_naive__cvr1f4__imp2.parquet,8229,0.04279678379581572,27.31225299835205
gbs_naive__cvr2f3__imp2.parquet,8230,0.04250177399188206,27.31484341621399
gbs_naive__cvr0f0__imp2.parquet,8232,0.04439760621185541,27.31721019744873
gbs_naive__cvr2f0__imp3.parquet,8232,0.04385624530120483,27.313372135162354
gbs_naive__cvr0f0__imp3.parquet,8232,0.04432754868958906,27.317487716674805
gbs_naive__cvr0f2__imp3.parquet,8230,0.04269458663229891,27.324153661727905
gbs_naive__cvr2f1__imp4.parquet,8230,0.04408927645323381,27.321310997009277
gbs_naive__cvr1f4__imp4.parquet,8229,0.04254212633615743,27.32746386528015
gbs_naive__cvr0f0__imp5.parquet,8232,0.044636614998411435,27.326205015182495
gbs_naive__cvr2f2__imp1.parquet,8230,0.04392880535468586,27.338420152664185
gbs_naive__cvr1f1__imp5.parquet,8230,0.043686145507378794,27.326497316360474
gbs_naive__cvr1f1__imp4.parquet,8230,0.04363320318146314,27.335511207580566
gbs_naive__cvr1f2__imp3.parquet,8230,0.044769604728150954,27.34249472618103
gbs_naive__cvr0f1__imp2.parquet,8230,0.044201720139496005,27.3500018119812
gbs_naive__cvr0f4__imp3.parquet,8229,0.044142946564155586,27.34835386276245
gbs_naive__cvr2f3__imp4.parquet,8230,0.04230740593838769,27.341304779052734
gbs_naive__cvr2f0__imp1.parquet,8232,0.043886366833447564,27.353652477264404
gbs_naive__cvr0f4__imp1.parquet,8229,0.04349189354731098,27.35489535331726
gbs_naive__cvr2f4__imp4.parquet,8229,0.04395707146980853,27.342670679092407
gbs_naive__cvr1f1__imp3.parquet,8230,0.04372310686434716,27.357993841171265
gbs_naive__cvr0f4__imp2.parquet,8229,0.04417043336162421,27.361816883087158
gbs_naive__cvr0f2__imp4.parquet,8230,0.04249643745739184,27.356202363967896
gbs_naive__cvr2f1__imp3.parquet,8230,0.044514315334320854,27.360583066940308
gbs_naive__cvr1f3__imp1.parquet,8230,0.044800203045554536,27.36714744567871
gbs_naive__cvr1f2__imp1.parquet,8230,0.04428787162228233,27.37026572227478
gbs_naive__cvr1f1__imp1.parquet,8230,0.04379717492316522,27.374631643295288
gbs_naive__cvr1f3__imp3.parquet,8230,0.045184450214950156,27.376404762268066
gbs_naive__cvr0f3__imp2.parquet,8230,0.04388057845671537,27.3994722366333
gbs_naive__cvr0f0__imp1.parquet,8232,0.044139615649951836,27.411120176315308
gbs_naive__cvr0f1__imp4.parquet,8230,0.04459326785350644,27.401292085647583
gbs_naive__cvr2f1__imp2.parquet,8230,0.044370298381587944,27.40591049194336
gbs_naive__cvr1f3__imp2.parquet,8230,0.045026841712001234,27.409804582595825
gbs_naive__cvr2f1__imp1.parquet,8230,0.04448044371474248,27.41616988182068
gbs_naive__cvr2f4__imp1.parquet,8229,0.044453987401606374,27.418832540512085
gbs_naive__cvr2f4__imp3.parquet,8229,0.043995674770891696,27.41564154624939
gbs_naive__cvr2f4__imp2.parquet,8229,0.04406706366244401,27.425278186798096
gbs_naive__cvr1f0__imp1.parquet,8232,0.0437590803987929,27.43996810913086
gbs_naive__cvr1f2__imp5.parquet,8230,0.044829986073671564,27.46594738960266
gbs_naive__cvr2f3__imp1.parquet,8230,0.042291560552512306,27.488566875457764
gbs_naive__cvr1f0__imp3.parquet,8232,0.04346259544632537,27.499547004699707
gbs_naive__cvr0f3__imp4.parquet,8230,0.04394786030569645,27.566468000411987
gbs_naive__cvr0f2__imp1.parquet,8230,0.042357709462423725,27.598114490509033
gbs_naive__cvr0f3__imp3.parquet,8230,0.04373652438655735,27.59550452232361
gbs_naive__cvr2f2__imp4.parquet,8230,0.04454346328994622,27.616887092590332
gbs_naive__cvr1f0__imp5.parquet,8232,0.04350947384363716,27.696295261383057
gbs_naive__cvr0f1__imp1.parquet,8230,0.04408865648916706,27.75345778465271
gbs_naive__cvr1f0__imp4.parquet,8232,0.0433049501229582,27.76506018638611
gbs_naive__cvr2f2__imp3.parquet,8230,0.04466310836205962,27.77209186553955
gbs_naive__cvr0f3__imp5.parquet,8230,0.043382478998147345,27.8057758808136
gbs_naive__temporal__imp6.parquet,9329,0.050036814737061716,0.9530839920043945
gbs_naive__temporal__imp7.parquet,9329,0.0500389909460165,0.8281989097595215
gbs_naive__cvr1f4__imp5.parquet,8229,0.042532093610251745,1.4324445724487305
gbs_naive__cvr0f3__imp6.parquet,8230,0.04376886103271516,1.4668498039245605
gbs_naive__cvr2f3__imp5.parquet,8230,0.04233753033131869,1.5350852012634277
gbs_naive__cvr0f4__imp7.parquet,8229,0.043764467749457775,1.3200833797454834
gbs_naive__cvr2f4__imp5.parquet,8229,0.043919989012531586,1.5527229309082031
gbs_naive__cvr0f2__imp7.parquet,8230,0.04261530399398715,1.3769164085388184
gbs_naive__cvr1f1__imp6.parquet,8230,0.04323870424470297,1.5239462852478027
gbs_naive__cvr2f2__imp6.parquet,8230,0.04431955799848212,1.513289213180542
gbs_naive__cvr1f2__imp6.parquet,8230,0.044424965576124006,1.5299832820892334
gbs_naive__cvr0f4__imp6.parquet,8229,0.04392091160721167,1.5490951538085938
gbs_naive__cvr2f0__imp6.parquet,8232,0.04393097934411,1.5610802173614502
gbs_naive__cvr0f0__imp6.parquet,8232,0.04412606469845032,1.5913841724395752
gbs_naive__cvr0f1__imp7.parquet,8230,0.04401551814035818,1.438518762588501
gbs_naive__cvr1f4__imp6.parquet,8229,0.0427894977727433,1.5717885494232178
gbs_naive__cvr0f1__imp6.parquet,8230,0.044276018574254575,1.6079370975494385
gbs_naive__cvr0f0__imp7.parquet,8232,0.04452043805532483,1.4601032733917236
gbs_naive__cvr2f1__imp6.parquet,8230,0.04422683357598336,1.6047325134277344
gbs_naive__cvr2f1__imp7.parquet,8230,0.04433509888499532,1.2155747413635254
gbs_naive__cvr1f3__imp7.parquet,8230,0.04494150271216665,1.3443145751953125
gbs_naive__cvr2f2__imp5.parquet,8230,0.04414919512855681,1.7302980422973633
gbs_naive__cvr0f3__imp7.parquet,8230,0.043728552553264396,1.551459789276123
gbs_naive__cvr2f0__imp5.parquet,8232,0.04424775127192761,1.9483692646026611
gbs_naive__cvr1f4__imp7.parquet,8229,0.04253604453347494,1.3954839706420898
gbs_naive__cvr2f2__imp7.parquet,8230,0.04412577397050272,1.2584638595581055
gbs_naive__cvr2f3__imp7.parquet,8230,0.04218982322100616,1.2673211097717285
gbs_naive__cvr1f3__imp5.parquet,8230,0.04538427851832582,2.080482244491577
gbs_naive__cvr1f0__imp6.parquet,8232,0.043270318293671416,1.843153953552246
gbs_naive__cvr2f1__imp5.parquet,8230,0.044442388709818356,2.1669349670410156
gbs_naive__cvr2f4__imp6.parquet,8229,0.04382013833041088,1.9482903480529785
gbs_naive__cvr1f0__imp7.parquet,8232,0.04344788854111132,1.8125739097595215
logistic__temporal__imp6.parquet,9329,0.053100716956532464,1.9960007667541504
gbs_naive__cvr1f1__imp7.parquet,8230,0.04355790835009251,1.8105907440185547
logistic_cr__temporal__imp7.parquet,9329,0.04228577902398711,0.4591081142425537
logistic__temporal__imp7.parquet,9329,0.05355895830239195,1.5077474117279053
gbs_naive__cvr1f2__imp7.parquet,8230,0.04470533768750391,1.7513275146484375
logistic_cr__cvr1f2__imp7.parquet,8230,0.04563414901334961,0.3390202522277832
logistic_cr__temporal__imp6.parquet,9329,0.04205061399317717,1.9772279262542725
gbs_naive__cvr1f3__imp6.parquet,8230,0.04499907397693516,2.0520107746124268
gbs_naive__cvr0f2__imp6.parquet,8230,0.04237010727815612,2.0795907974243164
gbs_naive__cvr2f3__imp6.parquet,8230,0.04243792199222022,2.068218946456909
logistic__cvr2f2__imp6.parquet,8230,0.0606965384283246,2.022901773452759
logistic__cvr1f1__imp6.parquet,8230,0.06151954547445917,2.0396296977996826
logistic__cvr2f4__imp7.parquet,8229,0.06167594663920597,0.5216867923736572
logistic_cr__cvr0f4__imp7.parquet,8229,0.045098950781408874,0.4413766860961914
logistic__cvr1f1__imp7.parquet,8230,0.061894552092599225,0.5804526805877686
logistic__cvr1f4__imp7.parquet,8229,0.05856237349264659,0.5655348300933838
logistic__cvr0f0__imp7.parquet,8232,0.061617157423897596,1.1803653240203857
logistic_cr__cvr1f1__imp7.parquet,8230,0.046345874858451555,0.3972148895263672
logistic_cr__cvr2f0__imp6.parquet,8232,0.04588820804346541,1.996551752090454
logistic_cr__cvr1f0__imp6.parquet,8232,0.04543698675401512,2.032569646835327
logistic_cr__cvr1f2__imp6.parquet,8230,0.045469862945718635,2.0309174060821533
logistic_cr__cvr2f0__imp7.parquet,8232,0.04595736518931835,0.3579423427581787
logistic__cvr0f3__imp7.parquet,8230,0.06052921437811594,0.6591370105743408
logistic__cvr0f0__imp6.parquet,8232,0.061626366308233434,2.086867570877075
logistic_cr__cvr1f3__imp6.parquet,8230,0.046406961373821075,2.043802499771118
logistic__cvr1f0__imp7.parquet,8232,0.06029146681815851,0.6184630393981934
logistic_cr__cvr0f2__imp7.parquet,8230,0.043732045312078464,0.5208888053894043
logistic__cvr1f4__imp6.parquet,8229,0.05867392032461976,2.0863828659057617
logistic_cr__cvr0f4__imp6.parquet,8229,0.04515192548324134,2.065197229385376
logistic_cr__cvr2f4__imp6.parquet,8229,0.0456034366172776,2.0198473930358887
logistic__cvr2f2__imp7.parquet,8230,0.06046982684796026,0.5767545700073242
logistic_cr__cvr0f2__imp6.parquet,8230,0.04366035115899607,2.0709643363952637
logistic__cvr0f4__imp7.parquet,8229,0.059895742615706196,0.6644525527954102
logistic_cr__cvr0f1__imp6.parquet,8230,0.04720598402914832,2.0851826667785645
logistic_cr__cvr0f3__imp6.parquet,8230,0.045222746964243166,2.0770485401153564
logistic__cvr1f3__imp7.parquet,8230,0.0615814553018596,0.6341259479522705
logistic__cvr2f0__imp7.parquet,8232,0.061690165870971696,0.6317901611328125
logistic__cvr0f1__imp6.parquet,8230,0.06250694494739274,2.1385629177093506
logistic_cr__cvr1f3__imp7.parquet,8230,0.04622891775310276,0.4709467887878418
logistic_cr__cvr2f1__imp6.parquet,8230,0.045104365811311976,2.067070722579956
logistic_cr__cvr1f4__imp7.parquet,8229,0.04366424710946319,0.4604756832122803
logistic__cvr2f4__imp6.parquet,8229,0.06133300841407331,2.1231131553649902
logistic__cvr0f2__imp7.parquet,8230,0.05875787139639297,1.0018057823181152
logistic_cr__cvr2f2__imp6.parquet,8230,0.04553713746740638,2.070920705795288
logistic_cr__cvr0f1__imp7.parquet,8230,0.0472511533834324,0.6003506183624268
logistic__cvr2f1__imp6.parquet,8230,0.05953601212901323,2.138198137283325
logistic_cr__cvr2f3__imp6.parquet,8230,0.04524350497424628,2.0943565368652344
logistic__cvr1f0__imp6.parquet,8232,0.06022719281154304,2.1553540229797363
logistic__cvr2f1__imp7.parquet,8230,0.059805395647946895,0.6589596271514893
logistic__cvr0f4__imp6.parquet,8229,0.06007781990799125,2.15928316116333
