"task","n","mean_risk10","secs"
"rsf_naive__temporal__imp1",9329,0.0487695988709324,49.8674175739288
"rsf_cr__temporal__imp1",9329,0.0425028673823565,101.86051607132
"rsf_naive__cvr0f0__imp1",8232,0.043490296671482,114.429576396942
"rsf_naive__cvr0f1__imp1",8230,0.0430901403251506,113.365463256836
"rsf_naive__cvr0f2__imp1",8230,0.0410513935694078,114.820897340775
"rsf_naive__cvr0f3__imp1",8230,0.0424056186637198,108.958288192749
"rsf_naive__cvr0f4__imp1",8229,0.0427344483671488,119.119649171829
"rsf_naive__cvr1f0__imp1",8232,0.0419843815291561,117.996983766556
"rsf_naive__cvr1f1__imp1",8230,0.0427224151726098,111.437235832214
"rsf_naive__cvr1f2__imp1",8230,0.0437076781637683,111.433270931244
"rsf_naive__cvr1f3__imp1",8230,0.0445922853827099,111.429421424866
"rsf_naive__cvr1f4__imp1",8229,0.0421792275264362,113.672049999237
"rsf_naive__cvr2f0__imp1",8232,0.0440817080958048,111.420719861984
"rsf_naive__cvr2f1__imp1",8230,0.0427333504643761,111.714955806732
"rsf_naive__cvr2f2__imp1",8230,0.0437459603050857,108.919187545776
"rsf_naive__cvr2f3__imp1",8230,0.0421662401649423,109.286266326904
"rsf_naive__cvr2f4__imp1",8229,0.0432757918590435,109.992384910583
"rsf_cr__cvr0f0__imp1",8232,0.0370103033721221,207.989058017731
"rsf_cr__cvr0f1__imp1",8230,0.0376706648614565,206.764914274216
"rsf_cr__cvr0f2__imp1",8230,0.0362862421651996,201.386576890945
"rsf_cr__cvr0f3__imp1",8230,0.0368943108865659,207.875946760178
"rsf_cr__cvr0f4__imp1",8229,0.0372146210814952,206.120265722275
"rsf_cr__cvr1f0__imp1",8232,0.0365273159265507,212.95805478096
"rsf_cr__cvr1f1__imp1",8230,0.0371308199938262,201.880042791367
"rsf_cr__cvr1f2__imp1",8230,0.0372459559236799,206.63631272316
"rsf_cr__cvr1f3__imp1",8230,0.037502881675968,204.294909477234
"rsf_cr__cvr1f4__imp1",8229,0.0358578645546333,204.315185308456
"rsf_cr__cvr2f0__imp1",8232,0.0377775389054563,201.349753856659
"rsf_cr__cvr2f1__imp1",8230,0.0374043599142031,211.932071208954
"rsf_cr__cvr2f2__imp1",8230,0.0378937864894559,208.023535251617
"rsf_cr__cvr2f3__imp1",8230,0.0356265922605907,204.508796453476
"rsf_cr__cvr2f4__imp1",8229,0.0367122998526771,206.910665035248
"rsf_naive__temporal__imp2",9329,0.0491710910026279,49.6843531131744
"rsf_cr__temporal__imp2",9329,0.0426959467127266,99.9024901390076
"rsf_naive__cvr0f0__imp2",8232,0.0434647372407365,109.800214290619
"rsf_naive__cvr0f1__imp2",8230,0.0426563999744674,112.981871128082
"rsf_naive__cvr0f2__imp2",8230,0.0413613857732919,108.812603473663
"rsf_naive__cvr0f3__imp2",8230,0.0423818111472384,112.695392608643
"rsf_naive__cvr0f4__imp2",8229,0.0429826458183958,113.79523062706
"rsf_naive__cvr1f0__imp2",8232,0.0419982841114775,112.092092752457
"rsf_naive__cvr1f1__imp2",8230,0.0429090925386175,109.905860185623
"rsf_naive__cvr1f2__imp2",8230,0.0434897425415771,111.243390321732
"rsf_naive__cvr1f3__imp2",8230,0.0443854518790422,111.23920917511
"rsf_naive__cvr1f4__imp2",8229,0.0424996256123978,115.143368244171
"rsf_naive__cvr2f0__imp2",8232,0.0446878636185202,112.732119083405
"rsf_naive__cvr2f1__imp2",8230,0.0425091013230318,111.226770401001
"rsf_naive__cvr2f2__imp2",8230,0.0437886093001829,111.22168970108
"rsf_naive__cvr2f3__imp2",8230,0.0423829139318558,109.804408311844
"rsf_naive__cvr2f4__imp2",8229,0.0429772418656095,105.843205690384
"rsf_cr__cvr0f0__imp2",8232,0.0368705410541054,202.798277616501
"rsf_cr__cvr0f1__imp2",8230,0.0373959404258585,202.800585746765
"rsf_cr__cvr0f2__imp2",8230,0.0365298197076046,205.686786174774
"rsf_cr__cvr0f3__imp2",8230,0.0366825213656288,204.581492900848
"rsf_cr__cvr0f4__imp2",8229,0.0373184067812032,203.560147762299
"rsf_cr__cvr1f0__imp2",8232,0.0364581684021857,205.829939842224
"rsf_cr__cvr1f1__imp2",8230,0.0371354955158378,196.96683716774
"rsf_cr__cvr1f2__imp2",8230,0.0370498266330556,198.884522438049
"rsf_cr__cvr1f3__imp2",8230,0.037306860671192,204.976355314255
"rsf_cr__cvr1f4__imp2",8229,0.0360465836006751,202.092900514603
"rsf_cr__cvr2f0__imp2",8232,0.0380768955640436,202.399996042252
"rsf_cr__cvr2f1__imp2",8230,0.0371740639247811,202.39814043045
"rsf_cr__cvr2f2__imp2",8230,0.0378321171712554,200.564640522003
"rsf_cr__cvr2f3__imp2",8230,0.0357804010224737,201.877304315567
"rsf_cr__cvr2f4__imp2",8229,0.0364016514243693,204.507527589798
"rsf_naive__temporal__imp3",9329,0.0488249338573525,45.3835854530334
"rsf_cr__temporal__imp3",9329,0.0424052653100525,94.9619703292847
"rsf_naive__cvr0f0__imp3",8232,0.0432795215464556,107.618267536163
"rsf_naive__cvr0f1__imp3",8230,0.0426191820425535,106.463418483734
"rsf_naive__cvr0f2__imp3",8230,0.0417157555265294,104.57639169693
"rsf_naive__cvr0f3__imp3",8230,0.0427780082306898,105.446147680283
"rsf_naive__cvr0f4__imp3",8229,0.0426228277383275,105.429959535599
"rsf_naive__cvr1f0__imp3",8232,0.0420332379321326,107.273304224014
"rsf_naive__cvr1f1__imp3",8230,0.0428393049202655,103.959529876709
"rsf_naive__cvr1f2__imp3",8230,0.0436247442261493,106.369523525238
"rsf_naive__cvr1f3__imp3",8230,0.04438412764315,107.396154880524
"rsf_naive__cvr1f4__imp3",8229,0.0423631763679755,104.476228952408
"rsf_naive__cvr2f0__imp3",8232,0.0441882719844912,106.211010694504
"rsf_naive__cvr2f1__imp3",8230,0.0428110147052002,106.044780731201
"rsf_naive__cvr2f2__imp3",8230,0.0433105937879118,104.444571971893
"rsf_naive__cvr2f3__imp3",8230,0.0422329670210831,104.873672485352
"rsf_naive__cvr2f4__imp3",8229,0.043416816935147,105.574573755264
"rsf_cr__cvr0f0__imp3",8232,0.0368292474038058,202.929416418076
"rsf_cr__cvr0f1__imp3",8230,0.0373873773301686,196.927118301392
"rsf_cr__cvr0f2__imp3",8230,0.0368112211106926,198.785985708237
"rsf_cr__cvr0f3__imp3",8230,0.0369302468832209,195.38548541069
"rsf_cr__cvr0f4__imp3",8229,0.0370924778860093,200.661318778992
"rsf_cr__cvr1f0__imp3",8232,0.0364463551690269,199.859225273132
"rsf_cr__cvr1f1__imp3",8230,0.0371852435587686,197.944368600845
"rsf_cr__cvr1f2__imp3",8230,0.0371898018958513,199.882935762405
"rsf_cr__cvr1f3__imp3",8230,0.037379021781451,202.532985687256
"rsf_cr__cvr1f4__imp3",8229,0.0360731860051538,197.951943635941
"rsf_cr__cvr2f0__imp3",8232,0.0377032569126445,204.519398927689
"rsf_cr__cvr2f1__imp3",8230,0.0373447590702699,200.897033691406
"rsf_cr__cvr2f2__imp3",8230,0.0375311283248928,201.81370139122
"rsf_cr__cvr2f3__imp3",8230,0.0356533888394747,200.394408464432
"rsf_cr__cvr2f4__imp3",8229,0.0368258661351742,200.435883522034
