cycle,n,n_miss_any,pct_miss_any,mean_age,pct_cvd_obs
1999-2000,3584.0,604.0,16.852678571428573,53.056919642857146,10.630580357142858
2001-2002,3846.0,672.0,17.472698907956318,52.09854394175767,7.904316172646905
2003-2004,3605.0,608.0,16.865464632454923,52.901803051317614,8.155339805825243
2005-2006,3516.0,458.0,13.026166097838454,51.659271899886235,5.602957906712173
2007-2008,4591.0,630.0,13.722500544543673,53.12851230668699,4.334567632324112
2009-2010,4738.0,603.0,12.726888982693119,52.43246095398902,2.99704516673702
2011-2012,4193.0,665.0,15.859766277128548,52.08466491772001,2.6949678034819935
2013-2014,4450.0,486.0,10.921348314606742,51.99685393258427,1.7752808988764044
2015-2016,4352.0,526.0,12.086397058823529,52.46392463235294,0.8731617647058824
2017-2018,4276.0,585.0,13.681010289990644,53.87768942937325,0.4443405051449953
