variable,n_missing,pct_missing,pct_lo,pct_hi
egfr,4057,9.858812665548832,9.57452248361349,10.150596532926425
hdl,3961,9.625525503632963,9.34431652492086,9.914271718582027
totchol,3960,9.623095429029672,9.341918812864717,9.911809735085699
sbp,3324,8.077567981337028,7.8181896974125795,8.34477247916752
bmi,2372,5.764136959004642,5.543056932934795,5.993475077694761
sex,0,0.0,0.0,0.00933416017296013
age,0,0.0,0.0,0.00933416017296013
statin,0,0.0,0.0,0.00933416017296013
antihtn,0,0.0,0.0,0.00933416017296013
smoke_current,0,0.0,0.0,0.00933416017296013
diabetes,0,0.0,0.0,0.00933416017296013
