split,model,horizon_y,metric,fmi,df,m,se,m_required_von_hippel
cv,logistic,5.0,mean_pred,0.05298767699662948,8224.598741552407,30,0.00018646087925083338,3.0
cv,logistic,5.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.000629099690450189,2.0
cv,logistic,5.0,eo,0.002968158502116097,40539.27313401795,30,0.04997405877051336,2.0
cv,logistic,5.0,calib_intercept,0.02488430182559031,21684.878361397023,30,0.06027220431332624,2.0
cv,logistic,5.0,calib_slope,0.04643311125249138,10081.370787520616,30,0.042386439951002504,3.0
cv,logistic,5.0,ici,0.07137315527035944,5003.556140569258,30,0.0007052168081338162,4.0
cv,logistic,5.0,e50,0.06951994278452134,5237.283963206173,30,0.0007016952446690963,4.0
cv,logistic,5.0,e90,0.07531089658930752,4554.282188130157,30,0.0021505191711162154,4.0
cv,logistic,5.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0006423628821256964,2.0
cv,logistic,5.0,eo_concordant,0.002964764850550185,40540.53097758672,30,0.04902690168017309,2.0
cv,logistic,5.0,calib_intercept_concordant,0.02445826580571689,22033.945873366083,30,0.05995071734053934,2.0
cv,logistic,5.0,calib_slope_concordant,0.046983885683182604,9904.644315088488,30,0.04194978707238019,3.0
cv,logistic,5.0,ici_concordant,0.08399501206196,3749.2614488489785,30,0.0007001673844011249,5.0
cv,logistic,5.0,e50_concordant,0.05190881741320748,8496.112105156439,30,0.0006372528956262882,3.0
cv,logistic,5.0,e90_concordant,0.07499997130372543,4587.596723609932,30,0.0019225009587153466,4.0
cv,logistic,5.0,auc,0.026214275875533398,20628.987299558237,30,0.007592876538022725,2.0
cv,logistic,5.0,cindex,0.02783074923453411,19414.872183492633,30,0.007890694226631008,2.0
cv,logistic,5.0,auc_marginal_ipcw,0.02320277910257245,23092.700263487248,30,0.0076651491117506795,2.0
cv,logistic,5.0,cindex_marginal_ipcw,0.02297784058332493,23287.06023851961,30,0.007618573742716099,2.0
cv,logistic,5.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0019620496140070115,2.0
cv,logistic,5.0,nb_at_0.01,0.004610881616347206,39791.37101232673,30,0.000613019426642186,2.0
cv,logistic,5.0,nb_at_0.02,0.012215777415047679,33673.016426724105,30,0.000577869271637364,2.0
cv,logistic,5.0,nb_at_0.03,0.04313138057925137,11234.219671251702,30,0.0005506562949608807,2.0
cv,logistic,5.0,nb_at_0.05,0.0355669284058768,14602.621117069324,30,0.000475197225211366,2.0
cv,logistic,5.0,nb_at_0.075,0.06463068584361342,5934.237807647764,30,0.0004073651410746777,4.0
cv,logistic,5.0,nb_at_0.2,0.142303295990775,1403.1493941245521,30,0.00019564944799474213,11.0
cv,logistic,5.0,frac_above_0.01,0.3938876767655708,195.35232954038892,30,0.0032385670999302185,55.0
cv,logistic,5.0,frac_above_0.02,0.3897491128482394,199.40046826121878,30,0.0028468684625573915,54.0
cv,logistic,5.0,frac_above_0.03,0.3488525883541205,247.32060584796875,30,0.002458567621319148,46.0
cv,logistic,5.0,frac_above_0.05,0.12992608218329027,1668.5642116853603,30,0.001622238942276048,9.0
cv,logistic,5.0,frac_above_0.075,0.13434516202009225,1565.8187335621421,30,0.0012316303320847437,10.0
cv,logistic,5.0,frac_above_0.2,0.45935975979516513,144.96532111121147,30,0.0005445870853334842,70.0
cv,logistic,5.0,nb_all_at_0.01,4.860149189361204e-05,41148.00014579739,30,0.0006354542394474852,2.0
cv,logistic,5.0,nb_all_at_0.02,4.860149189361204e-05,41148.00014579739,30,0.0006419384490491791,2.0
cv,logistic,5.0,nb_all_at_0.03,4.860149189361204e-05,41148.00014579739,30,0.0006485563622315248,2.0
cv,logistic,5.0,nb_all_at_0.05,4.860149189361204e-05,41148.00014579739,30,0.000662210189357622,2.0
