Characteristic,All eligible,"Train, 1999-2006","Temporal test, 2007-2010","Later cycles, 2011-2018",CVD death,Competing death,Censored
N,"41,151","14,551","9,329","17,271","1,766","4,299","35,086"
"Age, years",52.6 (13.8),52.4 (14.2),52.8 (13.8),52.6 (13.6),66.0 (10.8),64.3 (11.3),50.5 (13.2)
"Systolic blood pressure, mm Hg",125.5 (19.1),126.4 (20.2),123.9 (18.4),125.6 (18.5),136.7 (23.9),132.8 (22.2),124.1 (18.0)
"Total cholesterol, mg/dL",199.7 (42.5),206.0 (42.6),200.3 (41.7),194.3 (42.0),199.5 (47.2),199.2 (46.9),199.8 (41.7)
"HDL cholesterol, mg/dL",52.8 (16.4),53.0 (16.3),52.2 (16.4),53.0 (16.4),51.0 (16.5),52.3 (17.9),53.0 (16.2)
"Body-mass index, kg/m2",29.5 (6.8),29.0 (6.4),29.6 (6.7),29.8 (7.2),29.8 (7.1),29.0 (6.9),29.5 (6.8)
"eGFR, mL/min/1.73 m2",93.0 (20.8),93.9 (21.3),92.6 (20.3),92.3 (20.7),76.8 (24.1),81.1 (23.7),95.1 (19.5)
Male sex,"20,062 (48.8)","7,133 (49.0)","4,576 (49.1)","8,353 (48.4)","1,043 (59.1)","2,444 (56.9)","16,575 (47.2)"
Antihypertensive use,"12,028 (29.2)","3,790 (26.0)","2,879 (30.9)","5,359 (31.0)",990 (56.1),"1,977 (46.0)","9,061 (25.8)"
Statin use,"7,474 (18.2)","1,889 (13.0)","1,890 (20.3)","3,695 (21.4)",559 (31.7),"1,154 (26.8)","5,761 (16.4)"
Diabetes,"7,081 (17.2)","2,113 (14.5)","1,628 (17.5)","3,340 (19.3)",611 (34.6),"1,243 (28.9)","5,227 (14.9)"
Current smoking,"8,874 (21.6)","3,291 (22.6)","2,079 (22.3)","3,504 (20.3)",442 (25.0),"1,193 (27.8)","7,239 (20.6)"
"Median follow-up, years",9.2,15.8,10.6,4.8,7.5,7.2,9.6
CVD deaths,"1,766","1,176",341,249,"1,766",0,0
Competing deaths,"4,299","2,661",971,667,0,"4,299",0
