variable,statistic,Overall,Overall (weighted),Train (1999-2006),Test (2007-2010),Holdout-later (2011-2018),CVD death,Competing death,Censored
"Age, years",mean (SD),52.5 (13.7),50.6 (wt),52.2 (14.1),52.8 (13.7),52.6 (13.5),66.0 (10.6),64.2 (11.3),50.6 (13.1)
"Age, years",median [IQR],52.0 [41.0-64.0],--,51.0 [40.0-64.0],52.0 [41.0-64.0],53.0 [41.0-63.0],69.0 [61.0-74.0],67.0 [58.0-73.0],50.0 [39.0-61.0]
"Systolic BP, mmHg",mean (SD),125.3 (18.8),123.1 (wt),126.1 (19.9),123.6 (18.2),125.4 (18.2),136.7 (23.2),132.7 (21.7),123.9 (17.8)
"Systolic BP, mmHg",median [IQR],123.0 [112.0-135.0],--,123.0 [112.0-136.0],121.0 [111.0-133.0],123.0 [113.0-135.0],134.0 [121.0-150.0],130.0 [118.0-145.0],122.0 [112.0-134.0]
"Total cholesterol, mg/dL",mean (SD),199.9 (42.3),201.0 (wt),206.3 (42.5),200.4 (41.5),194.4 (41.9),200.3 (46.5),199.6 (46.9),199.9 (41.6)
"Total cholesterol, mg/dL",median [IQR],197.0 [171.0-225.0],--,203.0 [178.0-231.0],197.0 [171.0-225.0],192.0 [166.0-219.0],196.0 [169.0-228.0],197.0 [168.0-226.0],197.0 [172.0-225.0]
"HDL cholesterol, mg/dL",mean (SD),52.8 (16.3),53.3 (wt),52.9 (16.1),52.2 (16.4),53.1 (16.4),51.1 (16.5),52.2 (17.7),53.0 (16.2)
"HDL cholesterol, mg/dL",median [IQR],50.0 [41.0-62.0],--,50.0 [41.0-62.0],50.0 [41.0-61.0],50.0 [41.0-62.0],48.0 [40.0-59.0],49.0 [40.0-61.0],50.0 [41.0-62.0]
"Body-mass index, kg/m2",mean (SD),29.4 (6.7),29.2 (wt),28.9 (6.2),29.5 (6.6),29.9 (7.1),29.7 (6.9),29.0 (6.7),29.5 (6.7)
"Body-mass index, kg/m2",median [IQR],28.4 [24.9-32.8],--,28.0 [24.7-32.0],28.6 [25.1-32.9],28.6 [25.0-33.5],28.7 [25.3-32.8],28.1 [24.3-32.4],28.4 [24.9-32.8]
"eGFR, mL/min/1.73m2",mean (SD),93.0 (20.6),94.3 (wt),94.1 (21.0),92.6 (20.0),92.3 (20.6),77.4 (23.7),81.5 (23.3),95.0 (19.4)
"eGFR, mL/min/1.73m2",median [IQR],95.8 [80.3-108.4],--,96.5 [81.0-110.0],95.4 [80.1-107.7],95.5 [79.7-107.5],80.0 [62.1-95.4],85.9 [67.1-98.2],97.5 [82.6-109.8]
"HbA1c, % (available)",mean (SD),5.8 (1.1),5.6 (wt),5.7 (1.1),5.8 (1.1),5.9 (1.2),6.3 (1.5),6.1 (1.4),5.8 (1.1)
"HbA1c, % (available)",median [IQR],5.5 [5.3-5.9],--,5.4 [5.2-5.7],5.6 [5.3-5.9],5.6 [5.3-6.0],5.7 [5.4-6.5],5.7 [5.3-6.2],5.5 [5.2-5.9]
"Urine ACR, mg/g (available)",mean (SD),47.5 (366.8),31.2 (wt),49.4 (416.1),42.1 (307.1),48.8 (353.4),173.8 (861.7),127.4 (673.2),33.3 (267.7)
"Urine ACR, mg/g (available)",median [IQR],7.0 [4.5-13.6],--,6.6 [4.2-13.0],7.0 [4.5-13.5],7.4 [4.8-14.1],13.4 [6.5-42.4],10.4 [5.6-29.7],6.7 [4.4-12.2]
Male sex,n (%),17318 (49.0),48.6% (wt),6060 (49.6),3982 (49.2),7276 (48.5),830 (60.5),1946 (57.7),14542 (47.6)
Antihypertensive use,n (%),10210 (28.9),24.8% (wt),3111 (25.5),2449 (30.2),4650 (31.0),781 (56.9),1521 (45.1),7908 (25.9)
Statin use,n (%),6493 (18.4),17.0% (wt),1593 (13.0),1645 (20.3),3255 (21.7),449 (32.7),907 (26.9),5137 (16.8)
Diabetes,n (%),6052 (17.1),12.3% (wt),1724 (14.1),1395 (17.2),2933 (19.5),477 (34.8),956 (28.4),4619 (15.1)
Current smoker,n (%),7522 (21.3),20.9% (wt),2733 (22.4),1785 (22.0),3004 (20.0),343 (25.0),941 (27.9),6238 (20.4)
Race/eth: Mexican American,n (%),6288 (17.8),7.4% (wt),2694 (22.1),1471 (18.2),2123 (14.1),208 (15.2),539 (16.0),5541 (18.1)
Race/eth: Other Hispanic,n (%),3048 (8.6),5.4% (wt),498 (4.1),898 (11.1),1652 (11.0),65 (4.7),155 (4.6),2828 (9.3)
Race/eth: Non-Hispanic White,n (%),15472 (43.8),70.4% (wt),6147 (50.3),3904 (48.2),5421 (36.1),722 (52.6),1828 (54.2),12922 (42.3)
Race/eth: Non-Hispanic Black,n (%),7259 (20.6),10.2% (wt),2436 (20.0),1467 (18.1),3356 (22.4),339 (24.7),725 (21.5),6195 (20.3)
Race/eth: Other/multiracial,n (%),3242 (9.2),6.6% (wt),434 (3.6),356 (4.4),2452 (16.3),38 (2.8),125 (3.7),3079 (10.1)
N,summary,"35,309","151,187,360 (wt pop.)","12,209","8,096","15,004","1,372","3,372","30,565"
"CVD deaths, n",summary,"1,372",--,905,277,190,"1,372",0,0
"Competing deaths, n",summary,"3,372",--,"2,076",778,518,0,"3,372",0
"Censored, n",summary,"30,565",--,"9,228","7,041","14,296",0,0,"30,565"
"Median follow-up, y",summary,9.2,--,15.9,10.7,4.8,7.9,7.6,9.6
10-yr AJ CVD incidence,summary,0.0328,--,0.0355,0.0303,0.0293,--,--,--
